BA ReferenceNumber,Ratepayer ,Address,Postcode,Latitude,Longitude,Occupied,Liability start date,Rateable value,Relief total,Relief small business rates,Mandatory Relief,Relief discretionary,Top Up Discretionary Relief,Exempt Property,Transition 2018/19,VOA description
2400530310,FAMILIES AND BABIES (FAB),"31 All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,Y,2017-12-13,8800,8053.85,,Yes,,,,-493.27,Playgroup
2400530320,THE ACCOUNT HOLDER,"32 All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,Y,2012-11-05,19500,10140,,,,,,,Shop & Premises
2400530330,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"33 All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,,2016-08-30,1,1,,,,,Yes,,Building Under Reconstruction
2400530340,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"34 All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,,2016-09-30,1,1,,,,,Yes,,Building Under Reconstruction
2400530350,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"35 All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,,2016-09-12,1,1,,,,,Yes,,Building Under Reconstruction
2400530360,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"36 All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,,2016-09-01,1,1,,,,,Yes,,Building Under Reconstruction
2400530505,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"15 All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,Y,2018-02-07,7700,4004,,,,,,,Shop & Premises
2400531000,THE ACCOUNT HOLDER,"Kiosk 1, All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,Y,2010-06-01,4700,4700,Yes,,,,,1588.19,Kiosk
2400531010,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"Kiosk 2, All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,Y,2018-03-13,4700,855.81,,,,,,1588.19,Kiosk
2400531618,VISION MEDIA GROUP UK LIMITED,"Advertising Display Adj., 12 All Saints' Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1YD,53.68206,-1.49722,Y,2014-04-01,7000,4286.68,,,,,,-605,Advertising Right
2400532023,TEMPLE RETAIL LIMITED T/A PERFECT HOME,"20-23 All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,,2017-02-21,48250,23699.55,,,,,,763.2,Shop & Premises
2400532587,PHOTO-ME INTERNATIONAL PLC,"Photo Booth & Amusements, Near 24 All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,Y,2016-05-18,1500,360.98,,,,,,419.02,Site Of Photographic Booth
2400537037,BRITISH HEART FOUNDATION,"37/40 All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,Y,2012-12-04,32000,27837.75,,Yes,,,,5451.24,Shop & Premises
2400539000,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"The Ridings Centre, Public Conveniences, Near The Food Gardens, Wakefield, West Yorkshire",WF1 1DR,53.67985,-1.50138,Y,2016-01-19,1,0.52,,,,,Yes,,Public Convenience
2400539090,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"Store 1C - First Floor, Over 36 All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,,2016-01-19,610,610,,,,,Yes,-66.09,Store & Premises
2400539120,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"Ridings Centre Workshop, Almshouse Lane, Wakefield, West Yorkshire",WF1 1DR,53.67985,-1.50138,Y,2016-01-19,21750,11310,,,,,,,Workshop & Premises
2400539789,POUNDWORLD RETAIL LIMITED,"7-9 All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,Y,2004-11-08,58500,29148.36,,,,,,511.14,Shop & Premises
2400539900,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"Store 2 - First Floor, Over 36 All Saints Walk, The Ridings Centre, Wakefield, West Yorkshire",WF1 1US,53.68179,-1.49498,,2016-01-19,2025,2025,,,,,Yes,-225.85,Store & Premises
2400539901,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"Store 1A - First Floor, Over 36 All Saints Walk, The Ridings Centre, Wakefield",WF1 1US,53.68179,-1.49498,,2017-02-08,1025,1025,,,,,Yes,-107.45,Store & Premises
2400539903,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"Store 1B - First Floor, Over 36 All Saints Walk, The Ridings Centre, Wakefield",WF1 1US,53.68179,-1.49498,,2016-01-19,1150,1150,,,,,Yes,-121.53,Store & Premises
2400570010,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"1 Almshouse Lane, Wakefield, West Yorkshire",WF1 1BU,,,2018-03-25,11250,8011.69,,,,,,-1324.89,Shop & Premises
2400570020,P & J TEXTILES LIMITED,"2 Almshouse Lane, Wakefield, West Yorkshire",WF1 1BU,,Y,1996-04-30,20250,11743.77,,,,,,-981.91,Shop & Premises
2400579010,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"Ridings Centre Offices, Almshouse Lane, Wakefield, West Yorkshire",WF1 1BU,,Y,2016-01-19,18500,9620,,,,,,,Offices & Premises
2400579020,NEWRIVER RETAIL (WAKEFIELD) LIMITED,"Ridings Centre Car Park, Almshouse Lane, Wakefield, West Yorkshire",WF1 1SU,53.68172,-1.49732,Y,2016-01-19,275000,139425,,,,,,,Car Park & Premises
2400579035,SECOND CHANCE HEADWAY CENTRE,"The Day Centre, Almshouse Lane, Wakefield, West Yorkshire",WF1 1BU,,Y,2017-05-05,10000,10000,,Yes,,Yes,,-948.35,Day Centre & Premises
2400600011,THE ACCOUNT HOLDER,"1A Alverthorpe Road, (First Floor), Wakefield, West Yorkshire",WF2 9NW,53.67963,-1.51422,Y,2007-04-16,18750,9750,,,,,,,Snooker Club
2400600441,THE ACCOUNT HOLDER,"44 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PD,53.68203,-1.51763,Y,1997-04-27,4350,4350,Yes,,,,,,Shop & Premises
2400600670,J.H.MUDFORD & SONS LIMITED,"67/69 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9NU,53.68077,-1.51733,Y,2008-10-10,39500,20540,,,,,,,Factory & Premises
2400600960,THE ACCOUNT HOLDER,"96 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PD,53.68203,-1.51763,Y,2008-07-22,3450,3450,Yes,,,,,,Shop & Premises
2400601000,THE ACCOUNT HOLDER,"100 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PL,53.68311,-1.51773,Y,2017-02-01,7500,7500,Yes,,,,,,Beauty Salon
2400601280,THE ACCOUNT HOLDER,"128 Alverthorpe Road, Wakefield, West Yorshire",WF2 9PL,53.68311,-1.51773,Y,2010-11-15,2750,2750,Yes,,,,,,Shop
2400601281,THE ACCOUNT HOLDER,"128A Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PL,53.68311,-1.51773,Y,2016-01-09,2275,2275,Yes,,,,,,Shop
2400601400,F & F HAIRDRESSING LIMITED,"140 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PY,53.68421,-1.51841,Y,2011-04-07,7400,7400,Yes,,,,,,Hairdressing Salon & Prem
2400601601,THE ACCOUNT HOLDER,"Adj. 160 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PY,53.68421,-1.51841,Y,1990-04-01,6900,4299.28,,,,,,-671.79,Chapel Of Rest
2400601602,THE ACCOUNT HOLDER,"Rear 160 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PY,53.68421,-1.51841,Y,2016-04-01,4200,4200,Yes,,,,,-351.52,Workshop & Premises
2400601603,THE ACCOUNT HOLDER,"160A Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PY,53.68421,-1.51841,Y,2017-04-01,3150,1771.28,,,,,,-120.15,Workshop & Premises
2400601720,MARTINS FISHERIES ALVERTHORPE ROAD LIMITED,"172 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PY,53.68421,-1.51841,Y,2017-10-19,2850,2850,Yes,,,,,,Shop & Premises
2400601730,THE ACCOUNT HOLDER,"Scarborough Arms, 173 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PP,53.68438,-1.51916,Y,2003-11-12,9700,6044,,,,,,,Public House & Premises
2400601740,NEW SCARBOROUGH P.O. LIMITED,"172/174 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PY,53.68421,-1.51841,Y,2014-03-30,7800,7800,Yes,,,,,,Shop & Premises
2400601760,THE ACCOUNT HOLDER,"176 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PY,53.68421,-1.51841,Y,2013-04-02,4650,4650,Yes,,,,,,Shop & Premises
2400601870,THE ACCOUNT HOLDER,"187 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PP,53.68438,-1.51916,Y,2011-05-07,4250,4250,Yes,,,,,,Hairdressing Salon & Prem
2400603066,CLEAR CHANNEL UK LIMITED,"Advertising Right Adshel, 0705 3066, Adj. 44 Alverthorpe Road, Wakefield",WF2 9PD,53.68203,-1.51763,Y,2002-08-01,125,65,,,,,,,Advertising Right
2400604628,THE ACCOUNT HOLDER,"After 31 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9NW,53.67963,-1.51422,Y,2014-04-01,5300,5300,Yes,,,,,,Car Display Area & Prems
2400607169,SAINSBURY'S SUPERMARKETS LIMITED,"169 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PP,53.68438,-1.51916,Y,1997-07-02,9900,5148,,,,,,,Shop & Premises
2400607189,WILLIAM HILL ORGANIZATION LIMITED,"189 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PP,53.68438,-1.51916,Y,2000-04-01,11250,5850,,,,,,,Betting Shop
2400607200,WALAYAT FOODS LTD,"171 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PP,53.68438,-1.51916,Y,2016-12-01,7200,7200,Yes,,,,,,Shop & Premises
2400608169,SAINSBURY'S SUPERMARKETS LIMITED,"Automatic Teller Machine, Atm Site At Sainsburys, 169 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PP,53.68438,-1.51916,Y,2008-04-01,14000,7280,,,,,,,Site Of Automatic Teller Machine
2400609090,HUTCHINSON 3G UK LIMITED,"Site Number Wf 0059, Roof Of 1A Alverthorpe Rd, Wakefield, West Yorkshire",WF2 9NW,53.67963,-1.51422,,2009-12-03,12250,12250,,,,,Yes,-943.96,Communication Station & P
2400609162,THE ACCOUNT HOLDER,"162 Alverthorpe Road, Wakefield, West Yorkshire",WF2 9PY,53.68421,-1.51841,,2017-11-30,4600,2332.2,,,,,,,Shop & Premises
2400610090,PRO DISPLAY TM LIMITED,"Unit 1 Mulberry House, 8 Burgage Square, Wakefield, West Yorkshire",WF1 2TS,53.68310,-1.50367,Y,2016-08-24,12000,6020.15,,,,,,219.85,Offices & Premises
2400610101,THE WEST YORKSHIRE C.R.C. LIMITED,"1 Burgage Square, (First & Second Floors), Wakefield, West Yorkshire",WF1 2TS,53.68310,-1.50367,Y,2017-02-20,101000,-11498.37,,,,,,62705.37,Offices & Premises
2400610207,ALL-ROUND FITNESS UK LIMITED,"2 Burgage Square, (Unit 7), Wakefield, West Yorkshire",WF1 2TS,53.68310,-1.50367,Y,2016-07-19,33500,9187.8,,,,,,8232.2,Gymnasium & Premises
2400610208,ATOS IT SERVICES UK LIMITED,"Unit 2 Mulberry House, 8 Burgage Square, Wakefield, West Yorkshire",WF1 2TS,53.68310,-1.50367,Y,2015-04-01,21250,5884.69,,,,,,5165.31,Offices & Premises
2400610404,ENGLISH CITIES FUND,"Unit 4 Mulberry House, 8 Burgage Square, Wakefield, West Yorkshire",WF1 2TS,53.68310,-1.50367,,2017-10-01,12000,6084,,,,,,,Contractors Sheds/huts
2400610505,ESTABULO LIMITED T/A BRAZUCA,"Unit 5 Mulberry House, Burgage Square, Wakefield, West Yorkshire",WF1 2TS,53.68310,-1.50367,Y,2017-07-07,60000,30420,,,,,,,Restaurant & Premises
2400611010,ENGLISH CITIES FUND,"2 Burgage Square, (Part First Floor), Wakefield, West Yorkshire",WF1 2TS,53.68310,-1.50367,,2016-07-20,29750,7968.52,,,,,,7114.73,Offices & Premises
2400613456,ENGLISH CITIES FUND,"2 Burgage Square, (Second Floor - Rhs), Wakefield, West Yorkshire",WF1 2TS,53.68310,-1.50367,,2016-06-23,28500,7512.76,,,,,,6936.74,Offices & Premises
2400614567,ENGLISH CITIES FUND,"2 Burgage Square, (Second Floor - Lhs), Wakefield, West Yorkshire",WF1 2TS,53.68310,-1.50367,,2017-06-24,37500,8421.36,,,,,,10591.14,Offices & Premises
2400750206,AQUA RENTALS LIMITED,"2-6 Andrew Street, (Part Ground Floor), Wakefield, West Yorkshire",WF1 3QH,53.68936,-1.50424,Y,2017-04-01,7700,7700,Yes,,,,,-80.06,Factory & Premises
2400750307,HS ELECTRICAL SERVICES (WAKEFIELD) LIMITED,"2-6 Andrew Street, (Part Ground & First Fl.), Wakefield, West Yorkshire",WF1 3QH,53.68936,-1.50424,Y,2018-01-21,11250,11250,Yes,,,,,-116.97,Factory & Premises
2400759007,THE ACCOUNT HOLDER,"7A Andrew Street, Wakefield, West Yorkshire",WF1 3QH,53.68936,-1.50424,Y,2015-12-18,4200,4200,Yes,,,,,,Beauty Salon
2400759910,THE ACCOUNT HOLDER,"10 Andrew Street, Wakefield, West Yorkshire",WF1 3QH,53.68936,-1.50424,Y,2017-10-03,9300,9300,Yes,,,,,,Hairdressing Salon & Prem
2400807778,ESP ELECTRICITY LIMITED,"Idno Electric Connection, Balne Lane, Wakefield, West Yorkshire",WF2 0DF,53.68554,-1.50996,Y,2015-04-01,330,236.6,,,,,,-63.7,Independent Distribution Network Op.
2400970021,WINGKO LIMITED,"Units 2-4, Sandal Castle Centre, Asdale Road, Wakefield, West Yorkshire",WF2 7EA,53.64765,-1.49497,Y,2017-11-01,47500,25086.57,,,,,,,Restaurant & Premises
2400970070,THOMAS COOK RETAIL LIMITED,"Unit 7 Asda Superstore, Asdale Road, Wakefield, West Yorkshire",WF2 7EQ,53.65002,-1.50172,Y,1999-11-13,26250,14151.11,,,,,,-501.11,Shop & Premises
2400971001,ASDA STORES LIMITED,"Atm Site 3 At Asda, Asdale Road, Wakefield, West Yorkshire",WF2 7EQ,53.65002,-1.50172,Y,2010-04-01,8300,4316,,,,,,,Site Of Automatic Teller Machine
2400972000,ASDA STORES LIMITED,"Atm Sites 1 & 2 At Asda, Asdale Road, Wakefield, West Yorkshire",WF2 7EQ,53.65002,-1.50172,Y,2012-08-01,16500,8580,,,,,,,Site Of Automatic Teller Machine
2400979020,ALDI STORES LIMITED,"Sandal Castle Centre, Asdale Road, Wakefield, West Yorkshire",WF2 7EQ,53.65002,-1.50172,Y,1992-08-13,218000,110526,,,,,,,Supermarket & Premises
2400979030,RINALDI'S RESTAURANT LIMITED,"Sandal Castle Centre, Asdale Road, Wakefield, West Yorkshire",WF2 7EQ,53.65002,-1.50172,Y,2010-05-05,35000,18200,,,,,,,Restaurant & Premises
2400979040,L. ROWLAND & COMPANY (RETAIL) LIMITED,"Sandal Castle Centre, Asdale Road, Wakefield, West Yorkshire",WF2 7EQ,53.65002,-1.50172,Y,2001-04-01,24250,16070.66,,,,,,-3237.99,Shop & Premises
2400979091,PETER SAVAGE LIMITED,"York House - Ground Floor, Sandal Castle Centre, Asdale Road, Wakefield, West Yorkshire",WF2 7EQ,53.65002,-1.50172,Y,2014-10-03,11000,5720,,,,,,,Offices & Premises
2400979092,THE ACCOUNT HOLDER,"York House - First Floor, Sandal Castle Centre, Asdale Road, Wakefield, West Yorkshire",WF2 7EQ,53.65002,-1.50172,Y,2017-12-17,11000,5720,,,,,,,Offices & Premises
2400979100,THE ACCOUNT HOLDER,"Sandal Castle Centre, Asdale Road, Wakefield, West Yorkshire",WF2 7JE,53.64956,-1.49700,Y,2009-11-14,9000,4586.3,,,,,,93.7,Surgery & Premises
2400979876,THE ACCOUNT HOLDER,"Sandal Castle Medical Centre, Asdale Road, Wakefield, West Yorkshire",WF2 7EQ,53.65002,-1.50172,Y,1996-10-15,31250,17770.28,,,,,,-1220.7,Surgery & Premises
2400979900,SANDAL CASTLE PROPERTIES LIMITED,"Sandal Business Centre, Sandal Castle Centre, Asdale Road, Wakefield, West Yorkshire",WF2 7JE,53.64956,-1.49700,Y,2007-04-01,6300,6300,Yes,,,,,,Offices & Premises
2400979998,ASDA STORES LIMITED,"Asdale Road, Wakefield, West Yorkshire",WF2 7EQ,53.65002,-1.50172,Y,2010-04-01,2570000,1299129.41,,,,,,3860.59,Superstore
2401050020,THE ACCOUNT HOLDER,"2 Ashdown Road, Wakefield, West Yorkshire",WF1 5LU,53.66657,-1.48350,Y,2015-05-01,1750,1750,Yes,,,,,,Shop & Premises
2401270050,OSSETT BREWERY PUB COMPANY LIMITED,"5 Avison Yard, Wakefield, West Yorkshire",WF1 1UA,53.68022,-1.49302,Y,2007-07-30,19250,11010,,,,,,,Public House & Premises
2401270070,THE ACCOUNT HOLDER,"7 Avisons Yard, Kirkgate, Wakefield, West Yorkshire",WF1 1UA,53.68022,-1.49302,Y,2016-08-01,5000,5000,Yes,,,,,-391.15,Warehouse & Premises
2401270071,J & P JOINERY LTD,"7 Avisons Yard, Kirkgate, Wakefield, West Yorkshire",WF1 1UA,53.68022,-1.49302,Y,2016-04-01,14500,8879.99,Yes,,,,,-215.99,Workshop & Premises
2401279000,THE ACCOUNT HOLDER,"Avisons Yard, Kirkgate, Wakefield, West Yorkshire",WF1 1UA,53.68022,-1.49302,Y,2016-10-03,2750,2750,Yes,,,,,-272.53,Store
2401279010,THE ACCOUNT HOLDER,"Avisons Yard, Kirkgate, Wakefield, West Yorkshire",WF1 1UA,53.68022,-1.49302,Y,2013-06-01,2700,2700,Yes,,,,,-248.53,Workshop
2401279020,THE ACCOUNT HOLDER,"Avisons Yard, Kirkgate, Wakefield, West Yorkshire",WF1 1UA,53.68022,-1.49302,Y,1990-04-01,3050,3050,Yes,,,,,-229.99,Workshop & Premises
2401300031,THE ACCOUNT HOLDER,"3A Avondale Street, Wakefield, West Yorkshire",WF2 8DP,53.67494,-1.49974,Y,2014-02-01,4750,4750,Yes,,,,,-299.84,Workshop
2401300091,THE ACCOUNT HOLDER,"Unit 9 Waldorf Way, Wakefield, West Yorkshire",WF2 8DH,53.67560,-1.49993,Y,1990-04-01,6100,6100,Yes,,,,,-459.98,Garage & Premises
2401300140,THE ACCOUNT HOLDER,"14 Avondale Street, Wakefield, West Yorkshire",WF2 8DP,53.67494,-1.49974,,2017-12-04,2700,2700,,,,,Yes,,Shop & Premises
2401309090,THE ACCOUNT HOLDER,"Between 3 & 5, Avondale Street, Wakefield, West Yorkshire",WF2 8DP,53.67494,-1.49974,Y,2013-03-01,9600,9600,Yes,,,,,-532.89,Workshop & Premises
2401330030,NORTHERN ROOFLINE LIMITED,"Unit C Avondale Way, Wakefield, West Yorkshire",WF2 7QU,53.67408,-1.49804,Y,2009-04-01,11750,11750,Yes,,,,,-302.19,Warehouse & Premises
2401330040,TAYLOR FIRE SPRINKLERS LIMITED,"Unit D Avondale Way, Wakefield, West Yorkshire",WF2 7QU,53.67408,-1.49804,Y,2011-10-07,13500,10343.23,Yes,,,,,-166.46,Warehouse & Premises
2401337104,GRASS CONCRETE LIMITED,"Unit 4, Avondale Way, Wakefield, West Yorkshire",WF2 7QU,53.67408,-1.49804,Y,2011-02-11,10750,5944.48,,,,,,-281.35,Warehouse & Premises
2401337105,ROADSAFE CORPORATE GROUP LIMITED,"Unit 5 Avondale Way, Wakefield, West Yorkshire",WF2 7QU,53.67408,-1.49804,Y,2015-09-15,9600,5246.7,,,,,,-188.52,Workshop & Premises
2401339010,THE SIGN GALLERY LIMITED,"Unit 1 Avondale Way, Wakefield, West Yorkshire",WF2 7QU,53.67408,-1.49804,Y,2008-12-11,13750,10233.92,Yes,,,,,-573.44,Warehouse & Premises
2401339020,D S A JOINERY LIMITED,"Unit 2 Avondale Way, Wakefield, West Yorkshire",WF2 7QU,53.67408,-1.49804,Y,2010-08-02,12500,11629.5,Yes,,,,,-776.98,Warehouse & Premises
2401339903,HAKO MACHINES LIMITED,"Unit 3 Avondale Way, Wakefield, West Yorkshire",WF2 7QU,53.67408,-1.49804,Y,2015-03-16,8200,4525.03,,,,,,-205.27,Workshop & Premises
2401409090,POWER BULBS LIMITED,"Aysgarth Drive, Wakefield, West Yorkshire",WF2 8UG,53.66895,-1.53588,Y,2008-05-01,8800,8800,Yes,,,,,,Offices & Premises
2401450303,NATIONAL WESTMINSTER BANK PLC,"Site Of 3 Cash Dispensers, Westgate Railway Station, Westgate, Wakefield, West Yorkshire",WF1 2TG,53.68253,-1.50448,Y,2014-04-01,17750,9230,,,,,,,Site Of Automatic Teller Machine
2401450505,VINTOTO LIMITED,"Westgate Railway Station, (Retail Unit 5), Westgate, Wakefield, West Yorkshire",WF1 2TG,53.68253,-1.50448,Y,2017-04-05,10500,10500,Yes,,,,,-3117.24,Shop & Premises
2401454589,W H SMITH TRAVEL LIMITED,"Westgate Railway Station, (Retail Unit 4), Westgate, Wakefield, West Yorkshire",WF1 2TG,53.68253,-1.50448,Y,2013-12-22,46750,36499.55,,,,,,-12189.55,Shop & Premises
2401454590,SAVVYTURE LIMITED,"Westgate Railway Station, (Retail Unit 3), Westgate, Wakefield, West Yorkshire",WF1 2TG,53.68253,-1.50448,Y,2018-01-02,30000,23278.39,,,,,,-7678.39,Shop & Premises
2401454591,GREGGS PLC T/A GREGGS OF YORKSHIRE,"Westgate Railway Station, (Retail Unit 2), Westgate, Wakefield, West Yorkshire",WF1 2TG,53.68253,-1.50448,Y,2013-12-22,30500,23845.61,,,,,,-7985.61,Shop & Premises
2401454592,COSTA LIMITED,"Westgate Railway Station, (Retail Unit 1), Westgate, Wakefield, West Yorkshire",WF1 2TG,53.68253,-1.50448,Y,2013-12-22,52000,39897.27,,,,,,-13533.27,Shop & Premises
2401459001,THE ACCOUNT HOLDER,"The Orangery, Back Lane, Wakefield, West Yorkshire",WF1 2TG,53.68253,-1.50448,,2016-03-27,16000,16000,,,,,Yes,,Offices & Premises
2401459002,THE ACCOUNT HOLDER,"Caretakers Lodge, The Orangery, Back Lane, Wakefield, West Yorkshire",WF1 2TG,53.68253,-1.50448,,2017-10-15,5800,5800,,,,,Yes,,Offices & Premises
2401459030,H.B. CLARK & COMPANY (SUCCESSORS) LIMITED,"Back Lane, Wakefield, West Yorkshire",WF1 2TG,53.68253,-1.50448,Y,1990-04-01,16000,8442.04,,,,,,,Store & Premises
2401459040,PRIORY INN LIMITED,"The Priory, Back Lane, Wakefield, West Yorkshire",WF1 2TJ,53.68317,-1.50308,Y,2017-04-01,18750,11944.16,,,,,,-1194.16,Public House & Premises
2401470030,THE ACCOUNT HOLDER,"3-5 Back Bowman Street, Wakefield, West Yorkshire",WF1 5AX,53.66646,-1.47788,Y,2016-04-01,3950,3950,Yes,,,,,-432.41,Workshop & Premises
2401479000,THE ACCOUNT HOLDER,"Back Bowman Street, Wakefield, West Yorkshire",WF1 5AX,53.66646,-1.47788,Y,2000-08-01,2150,2150,Yes,,,,,-271.5,Workshop & Premises
2401509000,THE ACCOUNT HOLDER,"Back Duke Of York Street, Wakefield, West Yorkshire",WF1 3PF,53.68726,-1.49207,Y,2003-04-01,6800,6800,Yes,,,,,-336.81,Vehicle Repair W/shop & P
2401509020,ST AUSTIN'S CATHOLIC PRIMARY ACADEMY,"St. Austins R C Infants, School, Back Duke Of York Street, Wakefield, West Yorkshire",WF1 3PF,53.68726,-1.49207,Y,2015-07-01,43250,43250,,Yes,,Yes,,,School & Premises
2401529000,THE ACCOUNT HOLDER,"Back Garden Street, (Former Clinic Building), Wakefield, West Yorkshire",WF1 1DX,53.67999,-1.50330,Y,2015-05-19,7400,7400,Yes,,,,,-567.42,Rehersal Rooms
2401529010,TURNER SUPPLIES LIMITED,"Back Garden Street, Wakefield, West Yorkshire",WF1 1DX,53.67999,-1.50330,Y,2000-09-04,9500,9500,Yes,,,,,-829.27,Workshop & Premises
2401529100,MEADOWCROFT RESIDENTIAL SCHOOLS LIMITED,"The Garden Street Centre, Back Garden Street, Wakefield, West Yorkshire",WF1 1DX,53.67999,-1.50330,Y,2017-07-17,55000,27885,,,,,,,Offices & Premises
2401540010,THE ACCOUNT HOLDER,"Unit 1 Back Grantley Street, Wakefield, West Yorkshire",WF1 4LG,53.68437,-1.49074,Y,2010-04-01,5700,5700,Yes,,,,,-296.68,Stores
2401540020,JON SEAL SPORTSCARS LIMITED,"Unit 2 Back Grantley Street, Wakefield, West Yorkshire",WF1 4LG,53.68437,-1.49074,Y,2016-03-19,12500,11591.23,Yes,,,,,-547.39,Warehouse & Premises
2401540050,THE ACCOUNT HOLDER,"Unit 5, Back Grantley Street, Wakefield, West Yorkshire",WF1 4LG,53.68437,-1.49074,Y,2016-09-16,6200,6200,Yes,,,,,,Workshop & Premises
2401540060,THE ACCOUNT HOLDER,"Unit 6, Back Grantley Street, Wakefield, West Yorkshire",WF1 4LG,53.68437,-1.49074,Y,2010-08-01,5200,5200,Yes,,,,,-257.56,Workshop & Premises
2401540606,SQUARE FEET PROPERTIES LIMITED,"Unit 6A, Back Grantley Street, Wakefield, West Yorkshire",WF1 4LG,53.68437,-1.49074,Y,2017-04-01,4400,4400,Yes,,,,,,Store & Premises
2401547007,THE ACCOUNT HOLDER,"Unit 7, Back Grantley Street, Wakefield, West Yorkshire",WF1 4LG,53.68437,-1.49074,Y,2015-10-01,3250,3250,Yes,,,,,-239.9,Store & Premises
2401549009,THE ACCOUNT HOLDER,"Unit 9, Back Grantley Street, Wakefield, West Yorkshire",WF1 4LA,53.68422,-1.49106,Y,2017-11-22,5100,5100,Yes,,,,,-525.24,Workshop & Premises
2401628019,WILKES PROPERTIES (WAKEFIELD) LIMITED,"Unit 8, Back Grantley Street, Wakefield, West Yorkshire",WF1 4LA,53.68422,-1.49106,Y,2017-01-01,3350,3350,Yes,,,,,-244.85,Store & Premises
2401630000,WAKEFIELD MDC REGENERATION & ECON GROWTH,"Sponsored Roundabout, Jct Asdale Road/, Denby Dale Road, Durkar, Wakefield",WF4 3BB,53.65512,-1.51658,Y,2010-06-01,600,312,,,,,,,Land Used For Advertising & Premises
2401650771,HARPIN'S FUNERAL SERVICE LIMITED,"7 Back Mount Pleasant, Wakefield, West Yorkshire",WF1 4NP,53.68415,-1.48963,Y,2016-04-01,36750,19110,,,,,,,Funeral Parlour & Premise
2401659000,THE ACCOUNT HOLDER,"Back Mount Pleasant, Wakefield, West Yorkshire",WF1 4NP,53.68415,-1.48963,Y,2017-01-09,4250,4250,Yes,,,,,,Shop & Premises
2401709010,THE ACCOUNT HOLDER,"Balne Avenue, Wakefield, West Yorkshire",WF2 9AT,53.68456,-1.51435,Y,1990-04-01,13000,10920,Yes,,,,,,Club & Premises
2401750010,THE ACCOUNT HOLDER,"Unit 1 Cliffe Hill Works, Balne Lane, Wakefield, West Yorkshire",WF2 0DF,53.68554,-1.50996,Y,1992-04-01,8800,8800,Yes,,,,,-91.5,Store & Premises
2401750171,THE ACCOUNT HOLDER,"17A Balne Lane, Wakefield, West Yorkshire",WF2 0DH,53.68576,-1.51339,Y,2011-04-01,2300,2300,Yes,,,,,,Shop
