Property reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Liability start date,Current Analysis Code Description,Rateable value,Current Relief Type,Current Relief Type Description,Current Relief Award Start Date,Current Relief Award End Date,Current Property Exemption Code,Current Prop Exemption Description,Current Prop Exemption Start Date,Current Prop Exemption End Date
55410000777N,,"Suite 7, Railway House, Station Street, Meltham, Holmfirth, HD9 5NX",HD9 5NX,53.59304,-1.85145,2013-07-01,Office (Excluding Central & Local Gov'T),1275,SBRE,Small Business Relief England,2013-07-01,,,,,
63020001301N,,"_, Well Lane, Batley, WF17 5HQ",WF17 5HQ,53.71356,-1.62880,2018-04-01,Vehicle Repair Workshop,2475,,,,,,,,
00340000434N,,"Unit 5, Waterhouse Mills, Albert Street, Huddersfield, HD1 3PR",HD1 3PR,53.63743,-1.78841,2017-05-01,Warehouses,5200,SBRE,Small Business Relief England,2017-05-01,,,,,
84780000055N,,"Stall 128, Dewsbury Market, Cloth Hall Street, Dewsbury, WF13 1QE",WF13 1QE,53.69289,-1.62788,2014-11-01,Other Commercial,2150,SBRE,Small Business Relief England,2014-11-01,,,,,
25111200031N,,"Unit 4a, Healey Lane Mills, Healey Lane, Batley, WF17 7SH",WF17 7SH,53.71233,-1.64809,2018-07-10,Stores,1925,SBRE,Small Business Relief England,2018-07-10,,,,,
46830400224N,Karmelle Liquid Filling & Capping Systems Limited,"Unit 17, Queens Mill Estate, Queens Mill Road, Huddersfield, HD1 3RR",HD1 3RR,53.63813,-1.78488,2012-11-20,Warehouses,19750,,,,,,,,
46830400223N,Karmelle Liquid Filling & Capping Systems Limited,"Unit 19, Queens Mill Estate, Queens Mill Road, Huddersfield, HD1 3RR",HD1 3RR,53.63813,-1.78488,2016-01-01,Warehouses,25250,,,,,,,,
54280000162N,,"Holy Trinity Church Hall, First Floor, St James Road, Marsh, Huddersfield, HD1 4QA",HD1 4QA,53.65047,-1.80635,2013-10-25,Day Nursery And Premises,11750,SBRE,Small Business Relief England,2013-10-25,,,,,
77070000920N,,"Stall Nos 89-94, Queensgate Market, Princess Alexandra Walk, Huddersfield, HD1 2RD",HD1 2RD,53.64419,-1.78004,2014-04-01,Shops,9500,SBRE,Small Business Relief England,2014-04-01,,,,,
56790000190N,,"19, Sycamore Court, Golcar, Huddersfield, HD3 4SS",HD3 4SS,53.64300,-1.84114,2017-12-15,Betting Shops,3250,SBRE,Small Business Relief England,2017-12-15,,,,,
03350000281N,,"28a, Battye Street, Dewsbury, WF13 1PH",WF13 1PH,53.69371,-1.62466,2016-09-01,Shops,4700,SBRE,Small Business Relief England,2016-09-01,,,,,
43190000320N,,"26, Pack Horse Walk, Huddersfield, HD1 2RT",HD1 2RT,53.64629,-1.78141,2017-11-17,Shops,7500,SBRE,Small Business Relief England,2018-01-08,,,,,
08290000130N,,"13, Byram Street, Huddersfield, HD1 1DR",HD1 1DR,53.64904,-1.78236,2016-03-25,Restaurants,8700,SBRE,Small Business Relief England,2016-03-25,,,,,
05680000350N,,"35, Bradford Road, Cleckheaton, BD19 3JN",BD19 3JN,53.72560,-1.71196,2010-05-15,Shops,9100,SBRE,Small Business Relief England,2010-05-15,,,,,
07800001213N,,"Unit 18, Railway Saw Mills, Burbeary Road, Lockwood, Huddersfield, HD1 3UN",HD1 3UN,53.63209,-1.79935,2017-04-01,Workshops,4000,SBRE,Small Business Relief England,2017-04-01,,,,,
66070000030N,,"_, Wood Street, Huddersfield, HD1 1DG",HD1 1DG,53.64767,-1.78193,2016-09-01,Shops,6900,SBRE,Small Business Relief England,2016-09-01,,,,,
10910000170N,,"17, Church Street, Honley, Holmfirth, HD9 6AH",HD9 6AH,53.60447,-1.79273,2018-07-17,Shops,4600,SBRE,Small Business Relief England,2018-07-17,,,,,
67540001007N,,"Milford St Offices, Fairfield Mills, Unit M5, Milford Street, Huddersfield, HD1 3DX",HD1 3DX,53.64075,-1.78222,2011-09-05,Office (Excluding Central & Local Gov'T),2950,SBRE,Small Business Relief England,2011-09-05,,,,,
42140000020N,,"Stables And Paddock, Near Oakwell House, Nutter Lane, Birstall, Batley, WF17 9LF",WF17 9LF,53.73825,-1.67247,2016-04-01,Other Leisure,9300,SBRE,Small Business Relief England,2016-04-01,,,,,
28670001800N,,"180a, Huddersfield Road, Mirfield, WF14 8AT",WF14 8AT,53.67413,-1.69531,2014-10-31,Shops,4200,SBRE,Small Business Relief England,2014-10-31,,,,,
35700008220N,,"822, Manchester Road, Huddersfield, HD4 5TB",HD4 5TB,53.63745,-1.83172,2013-06-12,Shops,970,SBRE,Small Business Relief England,2013-06-12,,,,,
31200000061N,,"6., Knowl Road, Mirfield, WF14 8DQ",WF14 8DQ,53.67495,-1.69096,2009-08-10,Office (Excluding Central & Local Gov'T),4050,SBRE,Small Business Relief England,2009-08-10,,,,,
35540001000N,,"Unit 1, 8, Macauley Street, Huddersfield, HD1 2JY",HD1 2JY,53.64526,-1.78566,2014-09-01,Shops,8900,SBRE,Small Business Relief England,2014-09-01,,,,,
61100000210N,,"21, Upper Gate, Hepworth, Holmfirth, HD9 1TG",HD9 1TG,53.55756,-1.75615,2017-11-17,Apartment House,3850,SBRE,Small Business Relief England,2017-11-17,,,,,
34380100161N,,"Yard No 3, Low Mills, Low Mill Lane, Ravensthorpe Dewsbury, WF13 3LX",WF13 3LX,53.67424,-1.67076,2010-04-01,Stores,3500,SBRE,Small Business Relief England,2010-04-01,,,,,
28970000200N,,"20, Imperial Arcade, New Street, Huddersfield, HD1 2BR",HD1 2BR,53.64527,-1.78371,2015-07-24,Shops,8200,SBRE,Small Business Relief England,2015-07-24,,,,,
01830001100N,,"Horstead Farm, Back Lane, Briestfield, Dewsbury, WF12 0PB",WF12 0PB,53.65333,-1.65086,1992-04-01,Other Leisure,3600,SBRE,Small Business Relief England,2005-04-01,,,,,
44510001620N,,"Rising Sun, 167, Penistone Road, Shelley, Huddersfield, HD8 8JB",HD8 8JB,53.59466,-1.70235,2015-11-30,Public House,3400,PUBR,Public House Relief,2017-04-01,31/03/2019,,,,
35110090014N,,"Unit 3b, New Haven Business Park, Lowergate, Milnsbridge Huddersfield, HD3 4HS",HD3 4HS,53.64330,-1.83174,2016-02-01,Office (Excluding Central & Local Gov'T),4400,SBRE,Small Business Relief England,2016-02-01,,,,,
50300000011N,,"1 , Scar Fold, Holmfirth, HD9 2JN",HD9 2JN,53.56904,-1.78984,2017-09-07,Apartment House,2000,SBRE,Small Business Relief England,2017-09-07,,,,,
64220001120N,,"111a, Westgate, Almondbury, Huddersfield, HD5 8XQ",HD5 8XQ,53.63066,-1.74837,2016-02-01,Shops,2375,SBRE,Small Business Relief England,2016-02-01,,,,,
62070000390N,,"39, Wakefield Road, Kirkheaton, Huddersfield, HD5 0AN",HD5 0AN,53.64532,-1.73187,2010-06-01,Hairdressing Salons,14250,SBRE,Small Business Relief England,2010-06-01,,,,,
24850000010N,,"1, Haywood Avenue, Marsh, Huddersfield, HD3 4BA",HD3 4BA,53.65096,-1.81689,2016-09-29,Shops,2250,SBRE,Small Business Relief England,2016-09-29,,,,,
60390000100N,,"Ground Floor, 10, Union Street, Heckmondwike, WF16 0HH",WF16 0HH,53.70724,-1.67818,2016-01-29,Shops,9400,SBRE,Small Business Relief England,2016-05-24,,,,,
36260100150N,,"15, Market Avenue, New Street, Huddersfield, HD1 2BB",HD1 2BB,53.64538,-1.78226,2007-10-15,Shops,6600,SBRE,Small Business Relief England,2007-10-15,,,,,
05680000851N,,"85a/87, Bradford Road, Cleckheaton, BD19 3PT",BD19 3PT,53.72834,-1.71504,2015-05-25,Shops,4200,SBRE,Small Business Relief England,2015-05-25,,,,,
28630002201N,,"Holmfirth Dental Surgery, Oaklands, Huddersfield Road, Holmfirth, HD9 3TP",HD9 3TP,53.57712,-1.78428,2011-02-01,Surgeries,12000,SBRE,Small Business Relief England,2011-02-01,,,,,
36420000590N,,"59, Market Street, Milnsbridge, Huddersfield, HD3 4HZ",HD3 4HZ,53.64102,-1.82679,2018-03-26,Shops,12250,PUBR,Public House Relief,2018-03-26,,,,,
36420000590N,,"59, Market Street, Milnsbridge, Huddersfield, HD3 4HZ",HD3 4HZ,53.64102,-1.82679,2018-03-26,Shops,12250,SBRE,Small Business Relief England,2018-03-26,,,,,
55410000080N,,"8, Station Street, Meltham, Holmfirth, HD9 5QL",HD9 5QL,53.59276,-1.85104,2015-01-05,Hairdressing Salons,5400,SBRE,Small Business Relief England,2015-01-05,,,,,
52560000440N,,"44, Soothill Lane, Batley, WF17 6NR",WF17 6NR,53.71165,-1.62171,2017-03-22,Cafes,1600,SBRE,Small Business Relief England,2017-03-22,,,,,
25020050001N,Kautex Textron (Uk) Ltd,"Woodfield Mills, Headlands Road, Liversedge, WF15 6QA",WF15 6QA,53.70840,-1.69897,1990-04-01,Factories,213000,,,,,,,,
32620000041N,Kavik Ltd,"Unit 5 , Leeds Road, Liversedge, WF15 6JB",WF15 6JB,53.70931,-1.68758,2016-04-16,Showrooms,11250,SBRE,Small Business Relief England,2017-02-13,,,,,
05640002260N,Kawasaki Autorama Ltd,"226 & 226a, Bradford Road, Batley, WF17 6JB",WF17 6JB,53.70736,-1.62578,1990-04-01,Car Showroom,50500,,,,,,,,
22010000010N,Kaye Arms Bistro Ltd,"Kaye Arms, Wakefield Road, Grange Moor, Wakefield, WF4 4BG",WF4 4BG,53.63710,-1.65579,2014-09-01,Public House,37250,PUBR,Public House Relief,2017-04-01,31/03/2019,,,,
28610001420N,Kayflex Ltd,"Unit 3, Ravensthorpe Mills, Huddersfield Road, Ravensthorpe, Dewsbury, WF13 3LN",WF13 3LN,53.67496,-1.66682,2015-05-01,Workshops,39500,,,,,,,,
37330003220N,,"322, Meltham Road, Lockwood, Huddersfield, HD4 7EX",HD4 7EX,53.61470,-1.81422,2018-03-28,Shops,4800,SBRE,Small Business Relief England,2018-03-28,,,,,
56630000430N,,"43, Swallow Lane, Golcar, Huddersfield, HD7 4NB",HD7 4NB,53.64083,-1.86066,2010-09-20,Shops,1950,SBRE,Small Business Relief England,2010-11-01,,,,,
23930000692N,Kc Communications (Marketing) Ltd,"2nd Flr Lhs Independence House, Hall Lee Fold, Lindley, Huddersfield, HD3 3NX",HD3 3NX,53.66136,-1.81578,2017-04-27,Office (Excluding Central & Local Gov'T),7900,SBRE,Small Business Relief England,2017-04-27,,,,,
05643300040N,Kc Mobility Solutions Limited,"Units 2a 8g & Part Unit 9g, Carlinghow Mills, 501 Bradford Road, Batley, WF17 8LL",WF17 8LL,53.71872,-1.64108,2005-11-18,Factories,24500,,,,,,,,
77970100260N,Kdm Agency Ltd T/A Kdm Designs,"Batley Business Park, Unit 26, Technology Drive, Batley, WF17 6ER",WF17 6ER,53.70799,-1.62166,2017-04-20,Office (Excluding Central & Local Gov'T),1925,SBRE,Small Business Relief England,2017-04-20,,,,,
62010003730N,,"373, Wakefield Road, Denby Dale, Huddersfield, HD8 8RP",HD8 8RP,53.57253,-1.65788,2017-08-01,Shops,6600,SBRE,Small Business Relief England,2017-08-01,,,,,
31760000951N,,".95, Lane Head Road, Shepley, Huddersfield, HD8 8DB",HD8 8DB,53.58263,-1.70994,2018-08-13,Hairdressing Salons,4350,,,,,,,,
08400000300N,,"30, Calder Road, Mirfield, WF14 8PJ",WF14 8PJ,53.67154,-1.69794,2012-10-15,Shops,4750,SBRE,Small Business Relief England,2012-10-15,,,,,
63240090051N,,"Field House, Suite 202, Wellington Road, Dewsbury, WF13 1HF",WF13 1HF,53.69225,-1.63146,2003-09-12,Office (Excluding Central & Local Gov'T),4000,,,,,CCC,Listed building,12/09/2003,
63240000155N,,"Field House, Suite 400, 15, Wellington Road, Dewsbury, WF13 1HF",WF13 1HF,53.69225,-1.63146,2003-09-12,Office (Excluding Central & Local Gov'T),1375,,,,,CCC,Listed building,12/09/2003,
63240090061N,,"Field House, Suite 300, 15, Wellington Road, Dewsbury, WF13 1HF",WF13 1HF,53.69225,-1.63146,2003-09-12,Office (Excluding Central & Local Gov'T),1975,,,,,CCC,Listed building,12/09/2003,
63240090072N,,"Field House, Suites 405/408, 15, Wellington Road, Dewsbury, WF13 1HF",WF13 1HF,53.69225,-1.63146,2003-09-12,Office (Excluding Central & Local Gov'T),4150,,,,,CCC,Listed building,12/09/2003,
63240090074N,,"Field House, Suite 410, 15, Wellington Road, Dewsbury, WF13 1HF",WF13 1HF,53.69225,-1.63146,2003-09-12,Office (Excluding Central & Local Gov'T),2375,,,,,CCC,Listed building,12/09/2003,
63240090073N,,"Field House, Suite 401, 15, Wellington Road, Dewsbury, WF13 1HF",WF13 1HF,53.69225,-1.63146,2004-09-30,Office (Excluding Central & Local Gov'T),2000,,,,,CCC,Listed building,30/12/2004,
63240000154N,,"Field House, Suite 402, 15, Wellington Road, Dewsbury, WF13 1HF",WF13 1HF,53.69225,-1.63146,2004-04-01,Office (Excluding Central & Local Gov'T),2500,,,,,CCC,Listed building,01/04/2004,
56630400031N,,"_, Swallow Lane, Golcar, Huddersfield, HD7 4NB",HD7 4NB,53.64083,-1.86066,2007-04-01,Workshops,3950,SBRE,Small Business Relief England,2007-04-01,,,,,
53440200130N,,"Unit 13, Colne Valley Business Park, Spring Grove, Linthwaite Huddersfield, HD7 5QG",HD7 5QG,53.62500,-1.85637,2017-06-13,Workshops,2900,SBRE,Small Business Relief England,2017-06-13,,,,,
53440200120N,,"Unit 12, Colne Valley Business Park, Spring Grove, Linthwaite Huddersfield, HD7 5QG",HD7 5QG,53.62500,-1.85637,2017-08-01,Stores,710,,,,,FFF,Less Than 1500/1900/2200/2600,01/08/2017,
63940004110N,,"First Floor Rear, 41a, Westbourne Road, Marsh, Huddersfield, HD1 4LQ",HD1 4LQ,53.65148,-1.80407,2013-03-23,Workshops,2200,SBRE,Small Business Relief England,2013-03-23,,,,,
21140002202N,,"Garage At, Britannia Mills, Gelderd Road, Birstall, Batley, WF17 9QD",WF17 9QD,53.73502,-1.65660,2013-04-08,Stores,3350,SBRE,Small Business Relief England,2013-04-08,,,,,
40840002030N,Keith Drake Ltd,"_, Newtown, Honley, Holmfirth, HD9 6PQ",HD9 6PQ,53.60551,-1.78873,1990-04-01,Warehouses,27750,,,,,,,,
41410001190N,,"119, Northgate, Almondbury, Huddersfield, HD1 3AN",HD1 3AN,53.64255,-1.77162,1990-04-01,Shops,4850,SBRE,Small Business Relief England,2005-04-01,,,,,
42980200022N,,"Ground Floor Office , Unit 2, Shaw Cross Business Park, Horace Waller Vc Parade, Dewsbury, WF12 7RF",WF12 7RF,53.70087,-1.60598,2017-12-21,Office (Excluding Central & Local Gov'T),6100,SBRE,Small Business Relief England,2017-12-21,,,,,
40150002000N,,"_, New Fold, Holmfirth, HD9 2DQ",HD9 2DQ,53.56880,-1.78860,1990-04-01,Workshops,3100,SBRE,Small Business Relief England,2005-04-01,,,,,
53440200081N,,"Unit 8b, Colne Valley Business Park, Spring Grove, Linthwaite Huddersfield, HD7 5QG",HD7 5QG,53.62500,-1.85637,2013-02-01,Workshops,3500,SBRE,Small Business Relief England,2013-02-01,,,,,
05690000251N,,"23a, Bradford Road, Dewsbury, WF13 2DU",WF13 2DU,53.69588,-1.63120,2012-11-03,Warehouses,4700,SBRE,Small Business Relief England,2012-11-03,,,,,
04640001345N,,"Unit 1, 134, Birkby Hall Road, Birkby, Huddersfield, HD2 2UZ",HD2 2UZ,53.66035,-1.79412,2017-03-06,Vehicle Repair Workshop,4150,SBRE,Small Business Relief England,2017-03-06,,,,,
05641800090N,,"Unit V1, Second Floor, Victoria Mills, 511 Bradford Road, Batley, WF17 8LL",WF17 8LL,53.71872,-1.64108,2007-01-27,Warehouses,2850,SBRE,Small Business Relief England,2007-04-01,,,,,
50090300178N,,"Unit Md8, Skelmanthorpe Business Park, Saville Road, Skelmanthorpe, Huddersfield, HD8 9ED",HD8 9ED,53.59431,-1.65000,2017-07-01,Warehouses,6300,SBRE,Small Business Relief England,2017-07-01,,,,,
54880100011N,,"Lanka Garage, St Marys Lane, Kirkheaton, Huddersfield, HD5 0EB",HD5 0EB,53.65458,-1.72771,1990-04-01,Car Showroom,16000,SBRE,Small Business Relief England,2010-04-01,,,,,
36410000319N,Kej Llp,"Floor 8, 30 Market Street, Huddersfield, HD1 2HG",HD1 2HG,53.64524,-1.78521,2018-12-05,Office (Excluding Central & Local Gov'T),25000,,,,,HHH,Three month allowance,05/12/2018,04/03/2019
36410000320N,Kej Llp,"Floor 9, 30 Market Street, Huddersfield, HD1 2HG",HD1 2HG,53.64524,-1.78521,2018-12-05,Office (Excluding Central & Local Gov'T),25000,,,,,HHH,Three month allowance,05/12/2018,04/03/2019
06600300150N,Kel-Air (Plastics) Ltd,"Unit 15a, Holme Mills, Britannia Road, Milnsbridge Huddersfield, HD3 4QG",HD3 4QG,53.63810,-1.83759,1995-08-01,Warehouses,21000,,,,,,,,
28670091020N,Kelcol Bedding Ltd,"Wellington Mills, Huddersfield Road, Mirfield, WF14 9DL",WF14 9DL,53.67976,-1.71220,1996-04-04,Factories,54000,,,,,,,,
13050000040N,Keldergate News & Off Licence Limited,"4, Copthorne Square, Bradley, Huddersfield, HD2 1SZ",HD2 1SZ,53.67802,-1.74609,2007-09-02,Shops,3300,SBRE,Small Business Relief England,2007-09-02,,,,,
12420000241N,Keldregate Tenants Association,"24, Colne Hurst, Deighton, Huddersfield, HD2 1JZ",HD2 1JZ,53.67270,-1.75508,1993-10-12,Office (Excluding Central & Local Gov'T),2550,SBRE,Small Business Relief England,2011-04-01,,,,,
32600006582N,Kelland Precision Tooling Limited,"Automation Works, 656, Leeds Road, Huddersfield, HD2 1UB",HD2 1UB,53.66817,-1.74840,2014-03-04,Workshops,29500,,,,,,,,
36370000160N,,"16, Market Street, Cleckheaton, BD19 5AJ",BD19 5AJ,53.72383,-1.71299,2012-11-28,Shops,8900,SBRE,Small Business Relief England,2013-01-14,,,,,
41410001290N,,"129, Northgate, Almondbury, Huddersfield, HD5 8US",HD5 8US,53.63237,-1.74653,2000-04-01,Shops,4850,SBRE,Small Business Relief England,2005-04-01,,,,,
19680000845N,Kelstone Ltd,"1st Floor, 84, Fitzwilliam Street, Huddersfield, HD1 5AZ",HD1 5AZ,53.65046,-1.78498,2013-11-30,Office (Excluding Central & Local Gov'T),25000,,,,,CCC,Listed building,30/11/2013,
63280000270N,Kelvic Holdings & Developments Limited,"27, Wellington Road, Dewsbury, WF13 1HL",WF13 1HL,53.69105,-1.63242,2011-01-12,Office (Excluding Central & Local Gov'T),14500,,,,,GGG,Personal rep / liquidator,09/11/2011,
63240000290N,Kelvic Holdings & Developments Limited,"29, Wellington Road, Dewsbury, WF13 1HL",WF13 1HL,53.69105,-1.63242,2011-01-12,Office (Excluding Central & Local Gov'T),9900,,,,,GGG,Personal rep / liquidator,09/11/2011,
12560000760N,,"76, Commercial Street, Batley, WF17 5DS",WF17 5DS,53.71423,-1.63245,1990-11-09,Shops,14000,SBRE,Small Business Relief England,2017-04-01,,,,,
34380100200N,,"Low Mills, Low Mill Lane, Ravensthorpe, Dewsbury, WF13 3LX",WF13 3LX,53.67424,-1.67076,1992-04-01,Land Used For Storage,3600,SBRE,Small Business Relief England,2010-04-01,,,,,
34380000100N,,"Unit 10, Low Mills, Low Mill Lane, Ravensthorpe Dewsbury, WF13 3LN",WF13 3LN,53.67496,-1.66682,2004-05-27,Workshops,1075,,,,,,,,
34380000173N,,"Unit 18b, Low Mills, Low Mill Lane, Ravensthorpe Dewsbury, WF13 3LX",WF13 3LX,53.67424,-1.67076,2018-12-01,Stores,1775,,,,,FFF,Less Than 1500/1900/2200/2600,01/12/2018,
62110001157N,Ken Mallinson & Sons Ltd,"Riverside Business Park, Wakefield Road, Scissett, Huddersfield, HD8 9HR",HD8 9HR,53.59038,-1.62373,2000-02-01,Stores,520,,,,,FFF,Less Than 1500/1900/2200/2600,01/05/2000,
66320600031N,,"Part Unit 9, Clarence Mill, Woodhead Road, Holmbridge Holmfirth, HD9 2NE",HD9 2NE,53.55650,-1.81906,2012-01-01,Workshops,1425,SBRE,Small Business Relief England,2012-01-01,,,,,
25020000371N,,"Headlands Works, Headlands Road, Liversedge, WF15 7NT",WF15 7NT,53.70710,-1.69500,2009-11-01,Vehicle Repair Workshop,5200,SBRE,Small Business Relief England,2010-04-01,,,,,
45190004000N,,"Platt Mills, Hollins Lane, Slaithwaite, Huddersfield, HD7 5AB",HD7 5AB,53.62356,-1.87839,1990-04-01,Storage Depot,26250,,,,,,,,
28670001171N,Kenmore Caravans Ltd,"119, Huddersfield Road, Mirfield, WF14 9DA",WF14 9DA,53.67655,-1.70244,1999-02-02,Showrooms,33750,,,,,,,,
28672600030N,Kenmore Caravans Ltd,"Unit 1, Junction 25 Business, Huddersfield Road, Mirfield, WF14 9HP",WF14 9HP,53.67474,-1.67710,2005-11-28,Workshops,18000,,,,,,,,
03470000080N,,"Boy & Barrel Hotel, 8, Beast Market, Huddersfield, HD1 1QF",HD1 1QF,53.64768,-1.77969,2017-04-19,Public House,17000,PUBR,Public House Relief,2017-04-19,31/03/2019,,,,
34380000439N,,"Unit 15, Low Mills, Low Mill Lane, Ravensthorpe Dewsbury, WF13 3LX",WF13 3LX,53.67424,-1.67076,2018-04-01,Warehouses,1650,,,,,FFF,Less Than 1500/1900/2200/2600,01/04/2018,
13500000100N,,"Unit 10 (R/O John Walker & Son, Crackenedge Lane, Dewsbury, WF13 1QD",WF13 1QD,53.69282,-1.62730,1993-06-01,Stores,1075,,,,,,,,
84780000085N,,"Market Hall Stall 20/26, Dewsbury Market, Cloth Hall Street, Dewsbury, WF13 1QE",WF13 1QE,53.69289,-1.62788,2011-01-26,Other Commercial,4750,SBRE,Small Business Relief England,2011-01-26,,,,,
60360000100N,,"10, Union Road, Millbridge, Liversedge, WF15 7HW",WF15 7HW,53.70680,-1.68937,2012-02-13,Shops,1425,SBRE,Small Business Relief England,2012-02-13,,,,,
05640005866N,,"The Valet Shop, Hopewell Street, Carlinghow, Batley, WF17 8LR",WF17 8LR,53.71983,-1.64104,2011-04-01,Workshops,1675,SBRE,Small Business Relief England,2011-04-01,,,,,
37290200072N,Kenworth Products Ltd,"Unit E2, Meltham Mills Ind. Estate, Meltham Mills Road, Meltham Holmfirth, HD9 4AR",HD9 4AR,53.59210,-1.83802,2018-04-01,Warehouses,26750,,,,,,,,
40200000710N,Kepak Huddersfield Ltd,"_, New Hey Road, Oakes, Huddersfield, HD3 4BZ",HD3 4BZ,53.65372,-1.82063,2018-10-01,Factories,186000,,,,,,,,
62020001930N,,"193, Wakefield Road, Dewsbury, WF12 8AW",WF12 8AW,53.69171,-1.61097,2001-10-29,Hairdressing Salons,3900,SBRE,Small Business Relief England,2005-04-01,,,,,
10310100110N,,"Unit 11, Ingfield Enterprise Centre, Cherry Nook Road, Deighton Huddersfield, HD2 1JD",HD2 1JD,53.66963,-1.75510,2017-10-01,Office (Excluding Central & Local Gov'T),2125,SBRE,Small Business Relief England,2017-10-01,,,,,
36290000171N,,"Gnd Flr 15/17, Market Place, Dewsbury, WF13 1AE",WF13 1AE,53.69207,-1.62875,2017-10-23,Hairdressing Salons,11750,SBRE,Small Business Relief England,2017-10-23,,,,,
64270000138N,Kettle 13 Ltd T/A Krafty Kettle,"13b, Westgate, Honley, Holmfirth, HD9 6AA",HD9 6AA,53.60362,-1.79273,2018-05-26,Shops,7000,SBRE,Small Business Relief England,2018-05-26,,,,,
46570001970N,,"(The Gallery), 197, Quarry Road, Gomersal, Cleckheaton, BD19 4RS",BD19 4RS,53.72512,-1.68441,2011-10-08,Hairdressing Salons,6600,SBRE,Small Business Relief England,2011-10-08,,,,,
22940000033N,,"35, Greens End Road, Meltham, Holmfirth, HD9 5NW",HD9 5NW,53.59193,-1.85212,2017-06-01,Office (Excluding Central & Local Gov'T),3400,SBRE,Small Business Relief England,2017-06-01,,,,,
59690000930N,,"93, Town Street, Earlsheaton, Dewsbury, WF12 8JL",WF12 8JL,53.68628,-1.61286,2012-12-03,Shops,7100,SBRE,Small Business Relief England,2012-12-03,,,,,
25190000053N,,"Unit 18c, Heath House Mills, Heath House, Golcar, Huddersfield, HD7 4JW",HD7 4JW,53.63696,-1.86433,2016-05-01,Warehouses,1875,SBRE,Small Business Relief England,2016-05-01,,,,,
21140000695N,,"Grd Floor, Unit 4, Hawthorne House, Dark Lane, Birstall, Batley, WF17 9LW",WF17 9LW,53.73926,-1.65374,2018-12-21,Office (Excluding Central & Local Gov'T),27250,,,,,HHH,Three month allowance,21/12/2018,20/03/2019
26170001770N,,"177, High Street, Heckmondwike, WF16 0DY",WF16 0DY,53.70935,-1.66293,2006-10-16,Hairdressing Salons,2475,SBRE,Small Business Relief England,2006-10-16,,,,,
09680000333N,,"Red, Green & Blue Pod, Central Arcade, Cleckheaton, BD19 5DN",BD19 5DN,53.72416,-1.71300,2018-07-02,Shops,9200,SBRE,Small Business Relief England,2018-07-02,,,,,
32570003940N,Kevins Butchers Limited,"394, Leeds Road, Dewsbury, WF12 7QE",WF12 7QE,53.69976,-1.61234,2011-06-01,Shops,3350,SBRE,Small Business Relief England,2011-06-01,,,,,
11800000622N,,"62a, Close Hill Lane, Close Hill, Huddersfield, HD4 6JW",HD4 6JW,53.62712,-1.78671,2017-11-20,Shops,8500,SBRE,Small Business Relief England,2017-11-20,,,,,
68890000013N,Key Commercial Finance Solutions Ltd,"Office 2, 1 The Mews, Brunswick Street, Huddersfield, HD1 5JL",HD1 5JL,53.64921,-1.78758,2013-02-25,Office (Excluding Central & Local Gov'T),3400,SBRE,Small Business Relief England,2013-02-25,,,,,
05680090344N,Keyedin Solutions Limited,"Maple House (Ground Floor), Woodland Park, Bradford Road, Cleckheaton, BD19 6BW",BD19 6BW,53.73934,-1.73190,2012-04-01,Office (Excluding Central & Local Gov'T),34500,,,,,,,,
05680090343N,Keyedin Solutions Limited,"Gf Suite, Woodland Park, Bradford Road, Cleckheaton, BD19 6BW",BD19 6BW,53.73934,-1.73190,2018-07-19,Office (Excluding Central & Local Gov'T),34500,,,,,,,,
082900001110N,Keys Kitchen Limited,"The Keys Restaurant, Below Huddersfield Parish Church, Byram Street, Huddersfield, HD1 1BU",HD1 1BU,53.64728,-1.78092,2018-06-05,Cafes,9300,SBRE,Small Business Relief England,2018-06-05,,,,,
28710002480N,Kg Bathrooms Limited,"248, Huddersfield Road, Thongsbridge, Holmfirth, HD9 3JL",HD9 3JL,53.58151,-1.78095,2016-03-01,Workshops,3450,SBRE,Small Business Relief England,2016-03-01,,,,,
02460002011N,Kgb Productions Ltd,"Officie In Basement 1, Barncliffe Mills, Near Bank, Shelley, HD8 8LU",HD8 8LU,53.59134,-1.68699,2008-10-01,Office (Excluding Central & Local Gov'T),2200,SBRE,Small Business Relief England,2009-04-01,,,,,
05640004911N,,"491, Bradford Road, Batley, WF17 8LL",WF17 8LL,53.71872,-1.64108,2016-10-27,Shops,9500,SBRE,Small Business Relief England,2016-10-27,,,,,
65250000601N,,"(Rear Of), 60, Willans Road, Dewsbury, WF13 2NX",WF13 2NX,53.69400,-1.63473,2002-05-09,Shops,1600,,,,,FFF,Less Than 1500/1900/2200/2600,09/05/2002,
49010000056N,,"Office 6, 1st Floor Unit 1, Providence Works, Rouse Mill Lane, Soothill, Batley, WF17 5QB",WF17 5QB,53.70938,-1.62502,2016-06-14,Office (Excluding Central & Local Gov'T),1250,SBRE,Small Business Relief England,2016-06-14,,,,,
04940003443N,,"1st Floor ,Rear Of 344, Blackmoorfoot Road, Crosland Moor, Huddersfield, HD4 5NH",HD4 5NH,53.63349,-1.81751,2009-06-06,Stores,2050,,,,,FFF,Less Than 1500/1900/2200/2600,06/06/2009,
