Property reference number,BA reference number,Address,Postcode,Latitude,Longitude,Liability start date,Rateable value,VOA code,VOA description
N01061300162,,"Holiday Apartments, 16, Parliament Street, Harrogate, North Yorkshire, HG1 2QZ",HG1 2QZ,53.99346,-1.54263,2007-11-21,11500,CH1,Self Catering Holiday Units and Premises
N01061300170,100052004434,"17, Parliament Street, Harrogate, North Yorkshire, HG1 2QU",HG1 2QU,53.99322,-1.54294,2016-09-16,66000,CR,Restaurant and Premises
N01061300180,010003031488,"18, Parliament Street, Harrogate, North Yorkshire, HG1 2QZ",HG1 2QZ,53.99346,-1.54263,2016-07-11,43000,CL1,SHOP AND PREMISES
N01061300190,100052004314,"19/21, Parliament Street, Harrogate, North Yorkshire, HG1 2QU",HG1 2QU,53.99322,-1.54294,2017-02-21,110750,CL,PUBLIC HOUSE AND PREMISES
N01061300220,010003029091,"Debenhams, 22/30, Parliament Street, Harrogate, North Yorkshire, HG1 2RQ",HG1 2RQ,53.99395,-1.54298,1995-04-01,350000,CS,Shop and Premises
N01061300230,100052003864,"23, Parliament Street, Harrogate, North Yorkshire, HG1 2QU",HG1 2QU,53.99322,-1.54294,2016-12-12,52500,CS,SHOP AND PREMISES
N01061300330,100052004288,"33/35, Parliament Street, Harrogate, North Yorkshire, HG1 2RE",HG1 2RE,53.99403,-1.5436,2018-03-25,108000,CR,Restaurant and Premises
N01061300340,100052003858,"34, Parliament Street, Harrogate, North Yorkshire, HG1 2RL",HG1 2RL,53.99448,-1.54351,2018-02-01,16000,CS,Shop and Premises
N01061300341,100052004322,"34a, Parliament Street, Harrogate, North Yorkshire, HG1 2RL",HG1 2RL,53.99448,-1.54351,2018-07-02,16000,CS,Shop and Premises
N01061300368,,"36, Parliament Street, Harrogate, North Yorkshire, HG1 2RL",HG1 2RL,53.99448,-1.54351,2011-12-05,34250,CS3,Hairdressing Salon and Premises
N01061300380,100052004324,"38, Parliament Street, Harrogate, North Yorkshire, HG1 2RL",HG1 2RL,53.99448,-1.54351,2013-03-18,49000,CS,Shop and Premises
N01061300390,,"The Kiosk, 39a, Parliament Street, Harrogate, North Yorkshire, HG1 2BU",HG1 2BU,53.99388,-1.54357,2018-07-01,12250,CS,Shop and Premises
N01061300400,010003036680,"40/42, Parliament Street, Harrogate, North Yorkshire, HG1 2RL",HG1 2RL,53.99448,-1.54351,2009-08-05,41750,CS,Shop and Premises
N01061300440,100052003859,"44, Parliament Street, Harrogate, North Yorkshire, HG1 2RL",HG1 2RL,53.99448,-1.54351,2014-07-30,50000,CS,Shop and Premises
N01061300460,100052003860,"46/48, Parliament Street, Harrogate, North Yorkshire, HG1 2RL",HG1 2RL,53.99448,-1.54351,2017-06-22,89500,CR,Restaurant and Premises
N01061300470,010003029092,"47, Parliament Street, Harrogate, North Yorkshire, HG1 2RE",HG1 2RE,53.99403,-1.5436,2015-03-24,0,CS,Property undergoing conversion
N01061300471,,"37, Parliament Street, Harrogate, HG1 2RE",HG1 2RE,53.99403,-1.5436,2015-05-22,18250,CO,Offices and Premises
N01061300472,,"43, Parliament Street, Harrogate, HG1 2RE",HG1 2RE,53.99403,-1.5436,2015-06-03,68500,CR,Restaurant and Premises
N01061300473,,"45, Parliament Street, Harrogate, HG1 2RE",HG1 2RE,53.99403,-1.5436,2015-06-03,0,CS,Property undergoing Conversion
N01061300500,100052004326,"50, Parliament Street, Harrogate, North Yorkshire, HG1 2RL",HG1 2RL,53.99448,-1.54351,2008-03-15,23000,CS,Shop and Premises
N01061300512,010003025624,"Mojo Bar, Parliament Street, Harrogate, North Yorkshire, HG1 2RL",HG1 2RL,53.99448,-1.54351,2015-03-24,90000,CL,Public House and Premises
N01061300522,010003037494,"Unit 1, Royal Baths, Parliament Street, Harrogate, North Yorkshire, HG1 2WH",HG1 2WH,53.99433,-1.54406,2019-01-19,67000,CL2,club and premises
N01061300523,,"First Floor 52 &, 50a & 50b, Parliament Street, Harrogate, North Yorkshire, HG1 2RL",HG1 2RL,53.99448,-1.54351,2012-09-18,38250,CS,Shop and Premises
N01061300524,,"Ground Floor, 52, Parliament Street, Harrogate, HG1 2RL",HG1 2RL,53.99448,-1.54351,2018-01-29,15750,CS,Shop and Premises
N01061300536,010023261834,"Royal Baths, Parliament Street, Harrogate, North Yorkshire, HG1 2WH",HG1 2WH,53.99433,-1.54406,2002-11-26,21500,LS6,TURKISH BATHS AND PREMISES
N01061300542,100052183869,"54, Parliament Street, Harrogate, North Yorkshire, HG1 2RL",HG1 2RL,53.99448,-1.54351,2016-11-23,37750,CS,Shop and Premises
N01061300552,010003037590,"Winter Gardens, Unit 4 Royal Baths, Parliament Street, Harrogate, North Yorkshire, HG1 2WH",HG1 2WH,53.99433,-1.54406,2002-07-10,216000,CL,PUBLIC HOUSE AND PREMISES
N01061300553,,"The Travelodge, The Ginnel, Harrogate, North Yorkshire, HG1 2RB",HG1 2RB,53.99355,-1.54366,2004-04-01,74000,CH,HOTEL AND PREMISES
N01061300560,100052003861,"56/58, Parliament Street, Harrogate, North Yorkshire, HG1 2RL",HG1 2RL,53.99448,-1.54351,2015-11-23,36000,CS,Shop and Premises
N01061300580,100050397552,"The Moko Lounge, 2, Kings Road, Harrogate, North Yorkshire, HG1 2RL",HG1 2RL,53.99448,-1.54351,2019-01-19,22250,CL2,Night Club and Premises
N01061309140,,"Apartment 15,  Harrogate House, 39, Parliament Street, Harrogate, North Yorkshire, HG1 2BU",HG1 2BU,53.99388,-1.54357,2018-08-07,3800,CH1,Self Catering Holiday Unit and Premises
N01061310010,100052003855,"1, Westminster Arcade, 32, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2018-01-01,17000,CS,Shop and Premises
N01061310011,010003029097,"1a, Westminster Arcade, 32, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2013-04-01,11250,CS,Shop and Premises
N01061310012,010003029098,"Second Floor 1a, Westminster Arcade, 32, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2013-04-01,220,CW3,STORE AND PREMISES
N01061310013,010003029099,"2nd Floor, 1, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2013-12-20,225,CW3,STORE AND PREMISES
N01061310020,100052004327,"2, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2015-09-04,30750,CS,SHOP AND PREMISES
N01061310030,100052004328,"3, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2005-07-08,8600,CS,Shop and Premises
N01061310040,100052004329,"4, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2017-06-08,12000,CS,Shop and Premises
N01061310050,100052004330,"5, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2017-11-10,8500,CS,SHOP
N01061310051,010003029100,"Second Floor Store 5, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2018-01-10,220,CW3,STORE AND PREMISES
N01061310060,100052004331,"6, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2017-06-19,6400,CS,SHOP
N01061310072,100052004332,"7, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2014-11-10,4800,CS,Shop and Premises
N01061310080,100052004146,"8, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2012-06-04,4600,CS,SHOP
N01061310090,100052004450,"Unit 9, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2017-12-19,5200,CR1,Cafe and Premises
N01061310091,010003029103,"2nd Floor, 9, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2017-02-22,240,CW3,STORE AND PREMISES
N01061310100,100052003862,"10, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2017-02-22,6700,CS,Shop and Premises
N01061310110,100052004333,"11, Westminster Arcade, 32, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2018-01-10,14000,CS3,HAIRDRESSING SALON AND PREMISES
N01061310120,010003031600,"Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,1995-04-01,520,CW3,STORE AND PREMISES
N01061310130,010003029104,"Store Second Floor, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2016-03-24,220,CW,STORE
N01061310140,010003029105,"Basement Store, Westminster Arcade, Parliament Street, Harrogate, North Yorkshire, HG1 2RN",HG1 2RN,53.99424,-1.54292,2015-01-15,230,CW,STORE
N01061400020,100052003941,"Bar Dv8, 2, Parliament Terrace, Harrogate, North Yorkshire, HG1 2QY",HG1 2QY,53.99329,-1.54337,2007-07-06,0,CL,PROPERTY UNDERGOING CONVERSION
N01061400050,,"5, Parliament Terrace, Harrogate, North Yorkshire, HG1 2QY",HG1 2QY,53.99329,-1.54337,2018-11-23,5200,CH1,Self Catering Holiday Unit and Premises
N01062009010,010003029107,"Harlow Hill Squash Club, 9, Plantation Avenue, Harrogate, North Yorkshire, HG2 0DD",HG2 0DD,53.98197,-1.56392,1999-10-01,8000,LX,SQUASH CLUB AND PREMISES
N01062209010,100052209852,"Harlow Tennis Club, Plantation Road, Harrogate, North Yorkshire, HG2 0DB",HG2 0DB,53.98261,-1.56346,1995-04-01,2300,LX,TENNIS CLUB AND PREMISES
N01062859000,010003029108,"W M Morrison Petrol, Plumpton Park, Hookstone Chase, Harrogate, HG2 7LD",HG2 7LD,53.99371,-1.49631,1995-04-01,109000,CG,Petrol Filling Station and Premises
N01062859016,," W M Morrison, Plumpton Park, Hookstone Chase, Harrogate, HG2 7LD",HG2 7LD,53.99371,-1.49631,2015-04-01,1790000,CS9,Superstore and Premises
N01062859017,,"Inpost Delivery Locker At, W M Morrison, Plumpton Park, Hookstone Chase, Harrogate, HG2 7LD",HG2 7LD,53.99371,-1.49631,2015-04-01,1750,CX,Electronic Delivery Locker and Premises
N01062859018,,"A T M (Nat West), W M Morrison, Plumpton Park, Hookstone Chase, Harrogate, HG2 7LD",HG2 7LD,53.99371,-1.49631,2017-06-16,3750,CX,Automatic Teller Machine and Premises
N01062859019,,"A T M (Note Machine Uk Ltd), W M Morrison, Plumpton Park, Hookstone Chase, Harrogate, HG2 7LD",HG2 7LD,53.99371,-1.49631,2017-08-16,3750,CX,AUTOMATIC TELLER MACHINE & PREMISES
N01062859020,010003029110,"Homebase, Plumpton Park, Hookstone Chase, Harrogate, HG2 7LD",HG2 7LD,53.99371,-1.49631,1997-06-21,635000,CS10,Retail Warehouse and Premises
N01062859022,,"A T M (D C A T M), W M Morrison, Plumpton Park, Hookstone Chase, Harrogate, HG2 7LD",HG2 7LD,53.99371,-1.49631,2015-04-01,3750,CX,Automatic Teller Machine and Premises
N01062859030,010003035138,"Carpet Right, Plumpton Park, Hookstone Chase, Harrogate, HG2 7LD",HG2 7LD,53.99371,-1.49631,2018-09-17,260000,CS10,Retail Warehouse and Premises
N01062859040,010003029112,"Advertising Rights, Wm Morrison, Plumpton Park, Hookstone Chase, Harrogate, HG2 7LD",HG2 7LD,53.99371,-1.49631,2010-04-01,1000,CA,ADVERTISING RIGHT and premises
N01062859090,010003036622,"Unit 1 & 2, Plumpton Park, Hookstone Chase, Harrogate, HG2 7LD",HG2 7LD,53.99371,-1.49631,2000-08-19,480000,CS10,Retail Warehouse and Premises
N01062859100,010023253069,"Telecommunication Mast Site Ref Nyk0179, Adj Morrisons Petrol Station, Plumpton Park, Hookstone Chase, Harrogate, North Yorkshire, HG2 7HH",HG2 7HH,53.98937,-1.50392,2005-04-01,4350,MT1,Communication Station and Premises
N01062859120,010023253070,"Telecommunication Mast Site Ref 75542, Adj Morrisons Petrol Station, Plumpton Park, Hookstone Chase, Harrogate, North Yorkshire, HG2 7LD",HG2 7LD,53.99371,-1.49631,2009-01-30,4350,MT1,Communication Station and Premises
N01063300010,,"10, Princes Square, Harrogate, North Yorkshire, HG1 1LX",HG1 1LX,53.99132,-1.53978,2009-01-01,24500,CO,Offices and Premises
N01063300020,010023254130,"Caffe Maroni, The Basement, 2, Princes Square, Harrogate, North Yorkshire, HG1 1LX",HG1 1LX,53.99132,-1.53978,2008-04-24,20000,CR1,Cafe and Premises
N01063300023,100052183870,"Ground Floor, 2, Princes Square, Harrogate, North Yorkshire, HG1 1LX",HG1 1LX,53.99132,-1.53978,2014-03-25,24250,CO,Offices and Premises
N01063300035,100052183873,"Third Floor, 3, Princes Square, Harrogate, North Yorkshire, HG1 1ND",HG1 1ND,53.99145,-1.53915,2018-09-28,770,CO,OFFICES AND PREMISES
N01063300036,,"1st And 2nd Floor, 3, Princes Square, Harrogate, North Yorkshire, HG1 1ND",HG1 1ND,53.99145,-1.53915,2010-12-21,7000,CO,Offices and Premises
N01063300041,100052003494,"4, Princes Square, Harrogate, North Yorkshire, HG1 1LX",HG1 1LX,53.99132,-1.53978,2014-05-22,23250,CO,OFFICES & PREMISES
N01063300058,,"Ground And Basement, 5, Princes Square, Harrogate, North Yorkshire, HG1 1ND",HG1 1ND,53.99145,-1.53915,2009-04-01,9500,CO,Offices and Premises
N01063300059,,"1st 2nd & 3rd Floors, 5, Princes Square, Harrogate, North Yorkshire, HG1 1ND",HG1 1ND,53.99145,-1.53915,2013-03-01,7400,CO,Offices and Premises
N01063300065,,"1st Floor, 6, Princes Square, Harrogate, North Yorkshire, HG1 1LX",HG1 1LX,53.99132,-1.53978,2015-06-01,7100,CO,Offices and Premises
N01063300066,,"Ground Floor, 6, Princes Square, Harrogate, North Yorkshire, HG1 1LW",HG1 1LW,53.99099,-1.53905,2017-02-03,11250,CO,Offices and Premises
N01063300067,,"Second Floor, 6, Princes Square, Harrogate, North Yorkshire, HG1 1LW",HG1 1LW,53.99099,-1.53905,2015-08-17,4300,CO,Offices and Premises
N01063300077,," 7, Princes Square, Harrogate, North Yorkshire, HG1 1ND",HG1 1ND,53.99145,-1.53915,2012-04-01,16000,CO,Offices and Premises
N01063300090,100052003499,"9, Princes Square, Harrogate, North Yorkshire, HG1 1ND",HG1 1ND,53.99145,-1.53915,2011-03-08,19250,CO,OFFICES AND PREMISES
N01063300091,,"1st Floor, 8, Princes Square, Harrogate, North Yorkshire, HG1 1LX",HG1 1LX,53.99132,-1.53978,2019-01-01,6500,CO,Offices and Premises
N01063300124,100052003197,"Basement Offices, 12, Princes Square, Harrogate, North Yorkshire, HG1 1LX",HG1 1LX,53.99132,-1.53978,2012-09-01,11750,CO,Offices and Premises
N01063300133,100052183883,"Second Floor, 13, Princes Square, Harrogate, North Yorkshire, HG1 1LW",HG1 1LW,53.99099,-1.53905,2013-12-08,11250,CO,OFFICES AND PREMISES
N01063300137,010003029121,"Part Ground Floor, 13, Princes Square, Harrogate, North Yorkshire, HG1 1LW",HG1 1LW,53.99099,-1.53905,2013-12-08,9200,CO,Offices and Premises
N01063300138,,"Lgnd, Pt Gnd And 1st Floors, 13, Princes Square, Harrogate, North Yorkshire, HG1 5PG",HG1 5PG,53.99192,-1.53423,2013-12-08,36500,CO,Offices and Premises
N01063300183,,"Ground Floor, 8, Princes Square, Harrogate, North Yorkshire, HG1 1LX",HG1 1LX,53.99132,-1.53978,2011-09-29,9700,CO,Offices and Premises
N01063308100,010003029122,"Basement, 8/10, Princes Square, Harrogate, North Yorkshire, HG1 1LX",HG1 1LX,53.99132,-1.53978,1998-05-16,29250,CR,Restaurant and Premises
N01063309111,,"Ground Floor Lhs, 11, Princes Square, Harrogate, North Yorkshire, HG1 1ND",HG1 1ND,53.99145,-1.53915,2016-10-01,11250,CO,Offices and Premises
N01063309115,,"Ground Floor Rhs, 11, Princes Square, Harrogate, North Yorkshire, HG1 1ND",HG1 1ND,53.99145,-1.53915,2012-11-01,14250,CO,Offices and Premises
N01063309116,,"Lower Ground, 11, Princes Square, Harrogate, North Yorkshire, HG1 1ND",HG1 1ND,53.99145,-1.53915,2018-06-01,22250,CR,Restaurant and Premises
N01063309117,,"First Floor Unit, 11, Princes Square, Harrogate, North Yorkshire, HG1 1ND",HG1 1ND,53.99145,-1.53915,2016-03-15,7100,CO,OFFICES AND PREMISES
N01063309225,,"Ground Floor, 12, Princes Square, Harrogate, North Yorkshire, HG1 1LX",HG1 1LX,53.99132,-1.53978,2016-08-31,15250,CO,Offices and Premises
N01063309226,,"First Floor, 12, Princes Square, Harrogate, North Yorkshire, HG1 1LX",HG1 1LX,53.99132,-1.53978,2016-08-31,8000,CO,Offices and Premises
N01063309227,,"Fidelity Trading , Second Floor, 12, Princes Square, Harrogate, North Yorkshire, HG1 1LX",HG1 1LX,53.99132,-1.53978,2017-10-31,3050,CO,Offices and Premises
N01063309228,,"Harrogate Trading, Second Floor, 12, Princes Square, Harrogate, North Yorkshire, HG1 1LX",HG1 1LX,53.99132,-1.53978,2018-04-19,2700,CO,Offices and Premises
N01063400070,100052183884,"7/11, Princes Street, Harrogate, North Yorkshire, HG1 1NG",HG1 1NG,53.99189,-1.53942,2019-01-09,91000,CS,Shop and Premises
N01063400081,100052003502,"8a, Princes Street, Harrogate, North Yorkshire, HG1 1NH",HG1 1NH,53.992,-1.53989,2005-06-24,58000,CS,SHOP AND PREMISES
N01063400082,100052183885,"8b, Princes Street, Harrogate, North Yorkshire, HG1 1NH",HG1 1NH,53.992,-1.53989,2003-06-20,59000,CS,SHOP AND PREMISES
N01063400084,100052183886,"Part First Floor, 8, Princes Street, Harrogate, North Yorkshire, HG1 1NH",HG1 1NH,53.992,-1.53989,2017-07-20,18250,CO,OFFICES AND PREMISES
N01063400100,100052003503,"10, Princes Street, Harrogate, North Yorkshire, HG1 1NH",HG1 1NH,53.992,-1.53989,2009-03-19,52000,CS,SHOP AND PREMISES
N01063400120,100052003504,"12, Princes Street, Harrogate, North Yorkshire, HG1 1NH",HG1 1NH,53.992,-1.53989,1995-04-01,46500,CS,OFFICES AND PREMISES
N01063400140,100052003505,"14, Princes Street, Harrogate, North Yorkshire, HG1 1NH",HG1 1NH,53.992,-1.53989,2012-04-01,38000,CS3,HAIRDRESSING SALON AND PREMISES
N01063400141,100052003199,"Crown Chambers, 12/14/16, Princes Street, Harrogate, North Yorkshire, HG1 1NH",HG1 1NH,53.992,-1.53989,1995-04-01,19000,CO,OFFICES AND PREMISES
N01063400160,100052003161,"16, Princes Street, Harrogate, North Yorkshire, HG1 1NH",HG1 1NH,53.992,-1.53989,2009-08-31,27500,CS,Shop and Premises
N01063400890,010003029127,"Room 4, 2nd Flr, 8, Princes Street, Harrogate, North Yorkshire, HG1 1NH",HG1 1NH,53.992,-1.53989,2017-04-17,1275,CO,Office and Premises
N01063400900,010003029128,"Room 5, 2nd Flr, 8, Princes Street, Harrogate, North Yorkshire, HG1 1NH",HG1 1NH,53.992,-1.53989,2016-02-07,1750,CO,Office and Premises
N01063400911,,"Room 2, 2nd Flr, 8, Princes Street, Harrogate, North Yorkshire, HG1 1NH",HG1 1NH,53.992,-1.53989,2017-04-17,2275,CO,Office and Premises
N01063400920,010003029130,"Room 1, 2nd Flr, 8, Princes Street, Harrogate, North Yorkshire, HG1 1NH",HG1 1NH,53.992,-1.53989,2017-07-01,3300,CO,Office and Premises
N01063400940,010003029131,"Room 3, 2nd Floor Front, 8, Princes Street, Harrogate, North Yorkshire, HG1 1NH",HG1 1NH,53.992,-1.53989,2018-03-01,1850,CO,OFFICE
N01063409158,,"15, Princes Street, Harrogate, North Yorkshire, HG1 1NG",HG1 1NG,53.99189,-1.53942,2017-07-03,32500,CS,Shop and Premises
N01063800013,010003029137,"2nd/3rd Floor, 1, Prospect Crescent, Harrogate, North Yorkshire, HG1 1RH",HG1 1RH,53.99268,-1.54119,2018-05-30,13750,CO,OFFICES AND PREMISES
N01063800014,,"Basement & Ground Floor, 1, Prospect Crescent, Harrogate, North Yorkshire, HG1 1RH",HG1 1RH,53.99268,-1.54119,2007-12-01,103000,CS,Shop and Premises
N01063800015,,"First Floor, 1, Prospect Crescent, Harrogate, North Yorkshire, HG1 1RH",HG1 1RH,53.99268,-1.54119,2013-06-26,10500,LX,Gymnasium and Premises
N01063800020,010003029138,"2, Prospect Crescent, Harrogate, North Yorkshire, HG1 1RH",HG1 1RH,53.99268,-1.54119,2010-03-17,80000,CS,SHOP AND PREMISES
N01063800035,,"Gnd Flr & Basement, 3, Prospect Crescent, Harrogate, HG1 1RH",HG1 1RH,53.99268,-1.54119,2014-10-22,93500,CS,Shop and Premises
N01063800047,010003029142,"4, Prospect Crescent, Harrogate, North Yorkshire, HG1 1RH",HG1 1RH,53.99268,-1.54119,2017-04-01,87000,CS,SHOP AND PREMISES
N01063800050,010003029144,"5, Prospect Crescent, Harrogate, North Yorkshire, HG1 1RH",HG1 1RH,53.99268,-1.54119,1998-07-08,121000,CS,SHOP AND PREMISES
N01063800061,010003029145,"6, Prospect Crescent, Harrogate, North Yorkshire, HG1 1RH",HG1 1RH,53.99268,-1.54119,2007-04-01,120000,CS,Shop and Premises
N01063800070,010003029146,"H S B C, 7, Prospect Crescent, Harrogate, North Yorkshire, HG1 1RH",HG1 1RH,53.99268,-1.54119,1995-04-01,290000,CS1,Bank and Premises
N01063800110,,"Advertising Right ( Bt Phone Box 01423 528253), Junction With James Street, Opp Viyella, Prospect Crescent, Harrogate, North Yorkshire, HG1 1RH",HG1 1RH,53.99268,-1.54119,2017-10-01,550,CA,Advertising Right and Premises
N01063809041,,"Apartment 1, Prospect Apartments, Prospect Crescent, Harrogate, HG1 1RE",HG1 1RE,53.99242,-1.53924,2013-08-01,3800,CH1,Self Catering Holiday Unit and Premises
N01063809042,,"Apartment 2, Prospect Apartments, Prospect Crescent, Harrogate, HG1 1RE",HG1 1RE,53.99242,-1.53924,2013-08-01,3800,CH1,Self Catering Holiday Unit amd Premises
N01063809043,,"Apartment 3, Prospect Apartments, Prospect Crescent, Harrogate, HG1 1RE",HG1 1RE,53.99242,-1.53924,2013-08-01,3800,CH1,Self Catering Holiday Unit and Premises
N01063809044,,"Apartment 4, Prospect Apartments, Prospect Crescent, Harrogate, HG1 1RE",HG1 1RE,53.99242,-1.53924,2013-08-01,3800,CH1,Self catering Holiday Unit and Premises
N01063809045,,"Apartment 5, Prospect Apartments, Prospect Crescent, Harrogate, HG1 1RE",HG1 1RE,53.99242,-1.53924,2013-08-01,3800,CH1,Self Catering Holiday Unit and Premises
N01063900180,100052003489,"18, Prospect Place, Harrogate, North Yorkshire, HG1 1LB",HG1 1LB,53.99122,-1.541,2006-10-13,85000,CS,Shop and Premises
N01063900190,100052003490,"19, Prospect Place, Harrogate, North Yorkshire, HG1 1LB",HG1 1LB,53.99122,-1.541,2011-08-30,82000,CS,SHOP AND PREMISES
N01063900200,100052003730,"20, Prospect Place, Harrogate, North Yorkshire, HG1 1LB",HG1 1LB,53.99122,-1.541,2005-10-07,82000,CS,SHOP AND PREMISES
N01063900210,100052003491,"21, Prospect Place, Harrogate, North Yorkshire, HG1 1LB",HG1 1LB,53.99122,-1.541,2016-04-26,127000,CS,SHOP AND PREMISES
N01063909020,010003035948,"The Alexandra, Prospect Place, Harrogate, North Yorkshire, HG1 1LB",HG1 1LB,53.99122,-1.541,2008-12-13,80000,CL,Public House and Premises
N01063909030,010003018919,"The Yorkshire Hotel, Prospect Place, Harrogate, North Yorkshire, HG1 1LB",HG1 1LB,53.99122,-1.541,2018-01-09,106000,CH,HOTEL AND PREMISES
N01063909042,010034597616,"Hotel Du Vin, Prospect Place, Harrogate, North Yorkshire, HG1 1LB",HG1 1LB,53.99122,-1.541,2003-09-15,303000,CH,HOTEL AND PREMISES
N01064000020,100050405250,"2., Prospect Road, Harrogate, North Yorkshire, HG2 7PB",HG2 7PB,53.99758,-1.50122,2018-08-30,0,CS,Converting to Domestic
N01064000021,,"Advertising Right (Bt Phone Box 01423 883102), Adj Avenue Place, Prospect Road, Harrogate, North Yorkshire, HG2 7PU",HG2 7PU,53.99631,-1.49827,2017-10-01,550,CA,ADVERTISING RIGHT AND PREMISES
N01064009030,100052209856,"Arville Works, Prospect Road, Harrogate, North Yorkshire, HG2 7PB",HG2 7PB,53.99758,-1.50122,1995-04-01,42500,CW,WAREHOUSE AND PREMISES
N01064009052,010003036644,"Harrogate & District Travel, Prospect Road, Harrogate, North Yorkshire, HG2 7NX",HG2 7NX,53.99458,-1.49924,1998-09-01,60500,CG2,VEHICLE REPAIR WORKSHOP AND PREMISES
N01064009073,,"Pagoda House, Plumpton Park, Hookstone Chase, Harrogate, HG2 7LD",HG2 7LD,53.99371,-1.49631,2007-02-12,715000,IF,Bakery and Premises
N01064100100,,"Holiday Let, 10, Providence Terrace, Harrogate, North Yorkshire, HG1 5EX",HG1 5EX,53.99943,-1.53666,2015-01-01,3800,CH1,Self Catering Holiday Unit and Premises
N01064209020,100050405341,"Jansville, Quarry Lane, Harrogate, North Yorkshire, HG1 3HR",HG1 3HR,54.00812,-1.54958,1995-04-01,4350,IF3,WORKSHOP AND PREMISES
N01064209080,100052209860,"W E Broadbelt, Quarry Lane, Harrogate, North Yorkshire, HG1 3HR",HG1 3HR,54.00812,-1.54958,2014-11-01,6900,CW3,STORE AND PREMISES
N01064209090,100052209861,"Harrogate Scaffolding, Ripon Road, Harrogate, HG1 2AY",HG1 2AY,54.00501,-1.53947,1995-04-01,9400,CW1,LAND USED FOR STORAGE AND PREMISES
N01064209130,100052004618,"Baxters Garage, Quarry Lane, Harrogate, North Yorkshire, HG1 3HR",HG1 3HR,54.00812,-1.54958,2001-09-07,9600,CG1,VEHICLE REPAIR WORKSHOP AND PREMISES
N01064500050,010003029149,"Duchy House Hospital, 5/9, Queens Road, Harrogate, North Yorkshire, HG2 0HA",HG2 0HA,53.98646,-1.5466,2008-04-01,95500,MH3,Hospital and Premises
N01064600041,,"Raglan Chambers, 4, Raglan Street, Harrogate, North Yorkshire, HG1 1LT",HG1 1LT,53.99128,-1.53903,2012-09-01,20000,CO,Offices and Premises
N01064600050,010003029151,"Harrogate Liberal Club, 5, Raglan Street, Harrogate, North Yorkshire, HG1 1LE",HG1 1LE,53.9911,-1.54004,1995-04-01,7900,CL2,CLUBHOUSE AND PREMISES
N01064600051,100052183891,"Tannin Level, 5, Raglan Street, Harrogate, North Yorkshire, HG1 1LE",HG1 1LE,53.9911,-1.54004,2017-12-08,30000,CR,Wine Bar and Premises
N01064600052,100052183892,"Lower Ground Floor, 5, Raglan Street, Harrogate, North Yorkshire, HG1 1LE",HG1 1LE,53.9911,-1.54004,1995-04-01,4950,CO,OFFICES AND PREMISES
N01064600062,010003029152,"Upper Ground Floor, 5, Raglan Street, Harrogate, North Yorkshire, HG1 1GE",HG1 1GE,,,2008-06-28,6800,CO,OFFICES AND PREMISES
N01064600066,,"Unit 1 First Floor, 6, Raglan Street, Harrogate, North Yorkshire, HG1 1LT",HG1 1LT,53.99128,-1.53903,2012-10-01,5300,CO,Offices and Premises
N01064600067,,"Unit 2 First Floor, 6, Raglan Street, Harrogate, North Yorkshire, HG1 1LT",HG1 1LT,53.99128,-1.53903,2013-04-01,4350,CO,Offices and Premises
N01064600081,,"Feather Smailes And Scales, 8-10, Raglan Street, Harrogate, North Yorkshire, HG1 1LE",HG1 1LE,53.9911,-1.54004,2005-04-01,26000,CO,Offices and Premises
