Property Reference Number,Ratepayer,Address,Postcode,Latitude,Longitude,Occupied,Liability start date,Rateable value,VOA code,VOA description,Exemptions,Exemption Start Date, Type,Relief total,Relief mandatory,Relief discretionary
N00200023600031,,"3, Sutton Lane, Byram, Knottingley, WF11 9DL",WF11 9DL,53.723962,-1.263252,Y,2012-12-22,9200,CS6,Post Office And Premises,,,Small Business Rate,-4416.00,,
N0020002385000B,,"18, West Acres, Byram, Knottingley, WF11 9DY",WF11 9DY,53.723944,-1.260251,Y,2017-11-14,2900,CS,Shop And Premises,,,Small Business Rate,-1392.00,,
N0020002500461B,O'Flaherty And Frost Ltd,"Byram Stores, Byram Park Road, Byram, Knottingley, WF11 9DZ",WF11 9DZ,53.7244,-1.259971,Y,2013-04-03,4200,CS,Shop And Premises,,,Small Business Rate,-1865.37,,
N00200025050303,,"Wright J Shop, Byram Park Road, Byram, Knottingley, WF11 9DZ",WF11 9DZ,53.7244,-1.259971,Y,1990-04-01,2650,CS,Shop And Premises,,,Small Business Rate,-1272.00,,
N00200035001408,,"14, East Acres, Byram, Knottingley, WF11 9DX",WF11 9DX,53.723517,-1.258122,Y,2011-12-01,295,CO,Office And Premises,,,Small Business Rate,-126.27,,
N00200075005022,,"Surgery At Anne Sharp Community Centre, St Edwards Close, Byram, Knottingley, WF11 9NT",WF11 9NT,53.722232,-1.258145,Y,1993-04-01,14750,MH,Surgery And Premises,,,,,,
N00200090000319,Telefonica Uk Limited,"02 Site No.002950 At Village Farm, Sutton Lane, Byram, Knottingley, WF11 9NB",WF11 9NB,53.721121,-1.251542,Y,1996-11-28,6900,MT1,Communication Station And Premises,,,,,,
N00200090051503,Yorkshire Water,"Sewage Disposal Works, Sutton Lane, Byram, Knottingley, WF11 9NB",WF11 9NB,53.721121,-1.251542,Y,1990-04-01,302500,NW,Sewage Treatment Works And Premises,,,,,,
N0020010001900B,,"The Gatehouse, 2, Byram Park Road, Byram, Knottingley, WF11 9EA",WF11 9EA,53.725027,-1.262374,Y,2018-02-01,1675,CS,Shop And Premises,,,Small Business Rate,-804.00,,
N0020019373337X,J H Mccloy & Co Ltd,"Ground Mounted Photovoltaic Panels At, Low Farm, Byram Park, Byram, Knottingley, WF11 9NG",WF11 9NG,53.728522,-1.247848,Y,2017-04-01,12000,FE,Electricity Hereditament And Premises,,,,,,
N00210015002006,,"20, Brigg Lane, Camblesforth, Selby, YO8 8HJ",YO8 8HJ,53.727753,-1.019537,Y,2014-10-01,2900,CS3,Hairdressing Salon And Premises,,,Small Business Rate,-1090.52,,
N00210024300219,Aps Growers Ltd,"Yorkshire Fresh Fruit At Camblesforth Grange, Brigg Lane, Camblesforth, Selby, YO8 8ND",YO8 8ND,53.751514,-1.054805,Y,2018-05-10,0,IF,Factory And Premises,,,,,,
N0021002435004A,Aps Growers Ltd,"English Village Salads, Camblesforth Grange, Brigg Lane, Camblesforth, Selby, YO8 8ND",YO8 8ND,53.751514,-1.054805,Y,2018-05-10,0,IF,Factory And Premises,,,,,,
N0021002435004B,Aps Growers Ltd,"Melrow Salads , Camblesforth Grange, Brigg Lane, Camblesforth, Selby, YO8 8ND",YO8 8ND,53.751514,-1.054805,Y,2018-05-10,0,CO,Office And Premises,,,,,,
N00210024600021,Telefonica Uk Limited,"O2 (62910) At Stockhills Farm, Selby Road, Camblesforth, Selby, YO8 8HR",YO8 8HR,53.724697,-1.021745,Y,2011-11-11,6500,MT1,Communication Station And Premises,,,,,,
N0021002470012B,,"Caravan Storage At Brickyard Farm, Selby Road, Camblesforth, Selby, YO8 8HX",YO8 8HX,53.727445,-1.029109,Y,2011-12-01,2375,CW1,Land Used For Storage And Premises,,,Small Business Rate,-499.34,,
N0021004000050A,,"5, Croft Road, Camblesforth, Selby, YO8 8JL",YO8 8JL,53.726926,-1.016161,Y,2004-08-13,11000,CS,Shop And Premises,,,,,,
N00210040000707,,"7, Croft Road, Camblesforth, Selby, YO8 8JL",YO8 8JL,53.726926,-1.016161,Y,2015-12-14,4700,CS,Shop And Premises,,,Small Business Rate,-1721.88,,
N00210040000904,,"9, Croft Road, Camblesforth, Selby, YO8 8JL",YO8 8JL,53.726926,-1.016161,Y,2000-10-02,4700,CS,Shop And Premises,,,Small Business Rate,-1721.88,,
N00210040001108,,"11, Croft Road, Camblesforth, Selby, YO8 8JL",YO8 8JL,53.726926,-1.016161,Y,2017-04-01,4950,CS3,Hairdressing Salon And Premises,,,Small Business Rate,-1807.97,,
N00210120051503,Jlc Pubs & Hotels Ltd,"Comus Inn, Selby Road, Camblesforth, Selby, YO8 8HR",YO8 8HR,53.724697,-1.021745,Y,2017-08-02,8725,CL,Public House And Premises,,,Small Business Rate,-4188.00,,
N00210120052807,B T G Beal Ltd,"Black Dog Inn, Selby Road, Camblesforth, Selby, YO8 8HX",YO8 8HX,53.727445,-1.029109,Y,2017-05-26,15000,CL,Public House And Premises,,,Small Business Rate; Pub,0.00,,
N00210198422225,Community Partners Limited,"Sponsored Roundabout At, A1041 & A645, Selby Road, Camblesforth, Selby, YO8 8HY",YO8 8HY,53.727607,-1.027013,Y,2018-10-24,450,CX,Other Commercial,,,,,,
N00210200600303,,"Sandpit Farm Shop, Selby Road, Camblesforth, Selby, YO8 8NE",YO8 8NE,53.735133,-1.038406,Y,2012-09-01,550,CS,Shop And Premises,,,Small Business Rate,-203.76,,
N00210999050101,Ebor Academy Trust,"County Primary School, Mill Lane, Camblesforth, Selby, YO8 8HW",YO8 8HW,53.725304,-1.02014,Y,2017-01-01,25500,EL,School And Premises,,,Mandatory,-7390.10,-7390.10,
N0021099905012B,A B C Storage Solutions Ltd,"Store At Brickyard Farm, Selby Road, Camblesforth, Selby, YO8 8ND",YO8 8ND,53.751514,-1.054805,Y,2018-08-01,32250,CW,Warehouse And Premises,,,,,,
N00210999050135,Telefonica Uk Limited,"Telecommunication Mast Site Ref 3474, Selby Road, Camblesforth, Selby, YO8 8HX",YO8 8HX,53.727445,-1.029109,Y,1997-03-18,6700,MT1,Communication Station And Premises,,,,,,
N00210999050139,,"Land At The Brickyard, Selby Road, Camblesforth, Selby, YO8 8ND",YO8 8ND,53.751514,-1.054805,Y,2013-08-01,3300,CW1,Land Used For Storage And Premises,,,,,,
N00220025250002,,"Office At Kaiviti, Church Lane, Carlton, Goole, DN14 9PB",DN14 9PB,53.708656,-1.022102,Y,2014-08-01,395,CO,Office And Premises,,,Small Business Rate,-189.60,,
N0022002591001A,Julius-K9 Uk Ltd,"Unit 1a, Jandrem Industrial Estate, Hirst Road, Carlton, Goole, DN14 9PX",DN14 9PX,53.705635,-1.034155,Y,2016-02-01,8600,CW,Warehouse And Premises,,,Small Business Rate,-3788.13,,
N0022002591001B,,"Ib, Jandrem Industrial Estate, Hirst Road, Carlton, Goole, DN14 9PX",DN14 9PX,53.705635,-1.034155,Y,2015-09-28,8600,CW,Warehouse And Premises,,,Small Business Rate,-3788.13,,
N00220025951029,Ark Electric Ltd,"Unit 2 Jandrem Industrial Estate, Hirst Road, Carlton, Goole, DN14 9PX",DN14 9PX,53.705635,-1.034155,Y,2018-03-05,5100,IF3,Workshop And Premises,,,Small Business Rate,-2238.44,,
N00220025952028,Lunns Builders Ltd,"Unit 2a Jandrem Industrial Estate, Hirst Road, Carlton, Goole, DN14 9PX",DN14 9PX,53.705635,-1.034155,Y,2011-03-18,5100,IF3,Workshop And Premises,,,Small Business Rate,-2209.74,,
N00220026252017,,"The Workshop Studio, Holmans Yard, Low Street, Carlton, Goole, DN14 9PJ",DN14 9PJ,53.710762,-1.022493,Y,2016-07-08,6300,CS,Shop And Premises,,,Small Business Rate,-2783.70,,
N00220060050103,,"Forresters Arms, High Street, Carlton, Goole, DN14 9LY",DN14 9LY,53.709801,-1.020318,Y,1990-04-01,11000,CL,Public House And Premises,,,Small Business Rate,-5280.00,,
N00220060050705,Beaumont Trustees,"Carlton Towers, High Street, Carlton, Goole, DN14 9LY",DN14 9LY,53.709801,-1.020318,Y,1990-04-01,63000,LX,Leisure Unclassified,,,Localised Discretionary,,,
N00220060053506,Dlg Properties Limited,"Oddfellows Arms, High Street, Carlton, Goole, DN14 9LY",DN14 9LY,53.709801,-1.020318,Y,2015-02-23,9450,CL,Public House And Premises,,,Small Business Rate,-4536.00,,
N0022006005360A,,"The Sandwich Shop Carlton, High Street, Carlton, Goole, DN14 9LY",DN14 9LY,53.709801,-1.020318,Y,2018-02-01,2900,CS,Shop And Premises,,,Small Business Rate,-1262.71,,
N00220060053614,,"Frying Nemo, High Street, Carlton, Goole, DN14 9LY",DN14 9LY,53.709801,-1.020318,Y,2012-04-06,8900,CS,Shop And Premises,,,Small Business Rate,-3845.52,,
N0022006005385A,Brandaby Agricultural Trading Association Ltd,"Bata, High Street, Carlton, Goole, DN14 9LY",DN14 9LY,53.709801,-1.020318,Y,1991-02-01,14750,CW,Warehouse And Premises,,,,,,
N00220060053880,,"Carlton Supermarket & Post Office, High Street, Carlton, Goole, DN14 9LY",DN14 9LY,53.709801,-1.020318,Y,2004-11-21,30750,CS,Shop And Premises,,,,,,
N00220060054405,Beech Tree Surgery,"The Surgery, High Street, Carlton, Goole, DN14 9LY",DN14 9LY,53.709801,-1.020318,Y,2013-04-01,4350,MH,Surgery And Premises,,,,,,
N0022006501020B,Bankend Tea Rooms And Gift Shop Ltd,"Seedlings, Hirst Road, Carlton, Goole, DN14 9PX",DN14 9PX,53.705635,-1.034155,,2017-12-15,10750,CX,Other Commercial,Y,2019-03-15,Emprty Property Non Industrial,,,
N00220095051607,Abbey Coachways Ltd,"Meadowcroft Garage, Low Street, Carlton, Goole, DN14 9PH",DN14 9PH,53.70776,-1.023638,Y,1990-04-01,8600,CG2,Garage And Premises,,,Small Business Rate,-3673.33,,
N00220095053509,,"Vine Farm, Low Street, Carlton, Goole, DN14 9PN",DN14 9PN,53.712073,-1.023402,Y,2005-06-20,3100,CW1,Land Used For Storage And Premises,,,Small Business Rate,-645.70,,
N00220095054709,Carlton Village Hall Committee,"Village Hall, Low Street, Carlton, Goole, DN14 9PX",DN14 9PX,53.705635,-1.034155,Y,1990-04-01,5500,LC3,Hall And Premises,,,Discretionary Top Up; Mandatory,-1484.90,-1319.91,-164.99
N00220110002612,,"Smith G E Stores, Low Street, Carlton, Goole, DN14 9PA",DN14 9PA,53.709309,-1.02289,,2012-04-01,3750,CW3,Store And Premises,Y,2012-07-01,Emprty Property Non Industrial,,,
N00220155050103,The Holy Family Catholic High School,"Holy Family R C High School, Longhedge Lane, Carlton, Goole, DN14 9NS",DN14 9NS,53.713539,-1.01908,Y,1990-04-01,136000,EL,School And Premises,,,Mandatory,-53638.40,-53638.40,
N00220155050207,Carlton Service Station Ltd,"Carlton Service Station, Station Road, Carlton, Goole, DN14 9NS",DN14 9NS,53.713539,-1.01908,Y,2012-02-01,12250,CG1,Vehicle Repair Workshop And Premises,,,Small Business Rate,-5390.00,,
N0022015505030B,,"The Bungalow, Station Road, Carlton, Goole, DN14 9NS",DN14 9NS,53.713539,-1.01908,Y,1996-07-11,3100,CS,Shop And Premises,,,Small Business Rate,-1104.87,,
N00220155050508,Testcrete Ltd,"Carlton Station, Station Road, Carlton, Goole, DN14 9NT",DN14 9NT,53.717906,-1.02116,Y,1990-04-01,16750,IF3,Workshop And Premises,,,,,,
N00220203850019,Carlton Playgroup Limited,"St Marys Presbytery, Station Road, Carlton, Goole, DN14 9NL",DN14 9NL,53.71149,-1.020279,Y,2012-06-11,8100,EN1,Day Nursery & Premises,,,Discretionary Top Up; Mandatory,-3993.30,-3194.64,-798.66
N00220259050001,,"S&A Car & Van, Jandrem Industrial Estate, Hirst Road, Carlton, Goole, DN14 9PX",DN14 9PX,53.705635,-1.034155,Y,2007-04-17,1025,CX,Other Commercial,,,,,,
N00220259050005,,"Newcoates Farm, Hirst Road, Carlton, Goole, DN14 9PX",DN14 9PX,53.705635,-1.034155,Y,2018-04-01,7200,CW,Warehouse And Premises,,,Small Business Rate,-2582.81,,
N00220534300014,Bdw Trading Limited,"Barratt Show Home And Sales Office, 1, Fairfield Avenue, Carlton, Goole, DN14 9FP",DN14 9FP,53.712487,-1.019987,Y,2018-04-28,12000,CX,Other Commercial,,,,,,
N00220999050106,North Yorkshire County Council,"County Primary School, Townend Avenue, Carlton, Goole, DN14 9NR",DN14 9NR,53.712157,-1.017203,Y,1990-04-01,28750,EL,School And Premises,,,,,,
N00220999050407,Carlton Towers Cricket Club,"Carlton Towers Cricket Club, Carlton, Goole, DN14 9LY",DN14 9LY,53.709801,-1.020318,Y,1990-04-01,2850,LS,Sports Ground And Premises,,,Small Business Rate,-1368.00,,
N00220999050801,Carlton Parish Council,"Cemetery, Station Road, Carlton, Goole, DN14 9NT",DN14 9NT,53.717906,-1.02116,Y,1990-04-01,880,MC,"Cemeteries, And Premises",,,,,,
N00220999050816,Mobile Broadband Network Ltd,"Orange P C S ( Nyk0017), Lynwith Lane, Carlton, Goole, DN14 9SA",DN14 9SA,53.711175,-1.024559,Y,2012-04-01,9300,MT1,Communication Station And Premises,,,,,,
N00230027300115,,"Ground & Roof Mounted Photovoltaic Array At Catterton Hall Farm, Moor Lane, Catterton, Tadcaster, LS24 8DH",LS24 8DH,53.90656,-1.22474,Y,2017-04-01,580,FE,Electricity Hereditament And Premises,,,,,,
N00240025002609,Cawood Ce Va Primary School,"Cawood Primary School, Broad Lane, Cawood, Selby, YO8 3SQ",YO8 3SQ,53.829522,-1.128093,Y,1990-04-01,27250,EL,School And Premises,,,Mandatory,-10634.67,-10634.67,
N002400278500ZX,Stockbridge Technology Centre Ltd,"Stockbridge Technology Centre  ,, Stockbridge House, Cawood, Selby, YO8 3TZ",YO8 3TZ,53.824919,-1.150465,Y,2013-09-30,62000,MX,Miscellaneous Unclassified,,,Mandatory,-34565.18,-34565.18,
N00240028752017,,"The Barn , 70, Sherburn Street, Cawood, Selby, YO8 3SS",YO8 3SS,53.831869,-1.131979,Y,2017-04-01,4250,CO,Office And Premises,,,,,,
N0024007000021X,Sciantec Analytical Services A Division Of Cawood Scientific,"Stockbridge Technology Centre, Stockbridge House, Cawood, Selby, YO8 3TZ",YO8 3TZ,53.824919,-1.150465,Y,2003-12-01,33750,MX,Miscellaneous Unclassified,,,,,,
N00240080000201,,"Post Office, 2, High Street, Cawood, Selby, YO8 3TH",YO8 3TH,53.833243,-1.129337,Y,2016-04-09,6800,CS6,Post Office And Premises,,,Small Business Rate,-1750.57,,
N00240085000202,P F G Pubs Limited,"Ferry Inn, 2, King Street, Cawood, Selby, YO8 3TL",YO8 3TL,53.833784,-1.129584,Y,2018-12-11,16100,CL,Public House And Premises,,,Pub,-304.11,,
N0024009000041B,Bradford Gurdjieff Society,"4, Market Place, Cawood, Selby, YO8 3SR",YO8 3SR,53.832898,-1.130119,Y,2000-01-29,6000,EX,Education Unclassified,,,Discretionary; Small Business Rate,-2880.00,,
N0024009000050A,Jolly Sailor Brewery Ltd,"The Jolly Sailor Inn, 5, Market Place, Cawood, Selby, YO8 3SR",YO8 3SR,53.832898,-1.130119,Y,2017-04-13,4100,CL,Public House And Premises,,,Pub,-1000,,
N00240115050103,Cawood Parish Council,"Cemetery, Ryther Road, Cawood, Selby, YO8 3TT",YO8 3TT,53.839025,-1.139688,Y,1990-04-01,970,MC,"Cemeteries, And Premises",,,Small Business Rate,-441.95,,
N00240115050404,Cawood Leisure Ltd,"Cawood Holiday Park, Ryther Road, Cawood, Selby, YO8 3TT",YO8 3TT,53.839025,-1.139688,Y,2017-09-07,45000,CC1,Caravan Site,,,,,,
N00240120000115,,"1, Rythergate, Cawood, Selby, YO8 3TP",YO8 3TP,53.83409,-1.130854,,2017-05-01,2800,CS3,Hairdressing Salon And Premises,Y,2017-08-01,Emprty Property Non Industrial,,,
N00240120000219,,"2, Rythergate, Cawood, Selby, YO8 3TP",YO8 3TP,53.83409,-1.130854,Y,2016-08-03,10750,CS,Shop And Premises,,,Small Business Rate,-2812.40,,
N0024012005040B,,"Millstone House, 26, Rythergate, Cawood, Selby, YO8 3TP",YO8 3TP,53.83409,-1.130854,Y,2010-05-11,5200,IF3,Workshop And Premises,,,Small Business Rate,-2209.74,,
N00240120050701,White Cross  Ski Club,"White Cross Power Boat & Ski Club, Rythergate, Cawood, Selby, YO8 3TP",YO8 3TP,53.83409,-1.130854,Y,1990-04-01,6700,LC1,Clubhouse And Premises,,,CASC Mandatory,-2642.48,-2642.48,
N00240125000715,Old Boy'S School Management Committee,"Old Boys School, Old Boys School Lane, Cawood, Selby, YO8 3TY",YO8 3TY,53.834165,-1.130124,Y,2002-04-01,3750,LC3,Hall And Premises,,,Small Business Rate,-975.73,,
N00240140005001,,"Silo Barn, Old Boys School Lane, Cawood, Selby, YO8 3TY",YO8 3TY,53.834165,-1.130124,Y,2017-04-01,2500,CH1,Self Catering Holiday Unit And Premises,,,Small Business Rate,-1200.00,,
N00240155005501,,"Grange Side Nurseries, Thorpe Lane, Cawood, Selby, YO8 3SG",YO8 3SG,53.831743,-1.127013,Y,2016-04-01,4200,CX,Other Commercial,,,Small Business Rate,-2016.00,,
N0024015505030A,,"1, Water Row, Cawood, Selby, YO8 3SW",YO8 3SW,53.832332,-1.126454,Y,1990-04-01,8800,IF3,Workshop And Premises,,,,,,
N00240170000709,,"Castle Inn, 7, Wistowgate, Cawood, Selby, YO8 3SH",YO8 3SH,53.829323,-1.124222,Y,2017-11-06,31250,CL,Public House And Premises,,,Pub,-1000,,
N00240170000906,,"Fairholme, 9, Wistowgate, Cawood, Selby, YO8 3SH",YO8 3SH,53.829323,-1.124222,,1999-07-29,3550,CG2,Garage And Premises,Y,2017-04-01,Emprty Property Industrial,,,
N0024017005101A,Cawood Playing Fields Liaison Committee,"Cawood Sports Ground, Wistowgate, Cawood, Selby, YO8 3SL",YO8 3SL,53.827196,-1.122246,Y,1992-04-01,5000,LS,Sports Ground And Premises,,,Small Business Rate,-2094.95,,
N00240211152015,,"Pheasant  Farm At Goole Bank Farm, Church End, Cawood, Selby, YO8 3SN",YO8 3SN,53.833212,-1.122682,Y,2015-01-17,13000,MX,Miscellaneous Unclassified,,,Small Business Rate,-3328.96,,
N00240212305103,York South Caravan Camping Ltd,"Caravan & Camping Site At Roydon Lodge., Broad Lane, Cawood, Selby, YO8 3BB",YO8 3BB,53.815718,-1.135842,Y,2017-10-18,6800,CC3,Caravan & Pitch And Premises,,,Small Business Rate,-3264.00,,
N0024021300001A,,"Woodside Caravan & Trailer Storage At Woodside, Cawood Common, Selby, YO8 3RB",YO8 3RB,53.804668,-1.144142,Y,2016-06-01,4450,CW1,Land Used For Storage And Premises,,,Small Business Rate,-918.33,,
N00240290050015,,"Cooks Cottage Holiday Accommodation, Wistowgate, Cawood, Selby, YO8 3SH",YO8 3SH,53.829323,-1.124222,Y,2019-01-01,2850,CH1,Self Catering Holiday Unit And Premises,,,,,,
N002402910320A,,"Chesterville, Wistowgate, Cawood, Selby, YO8 3SL",YO8 3SL,53.827196,-1.122246,Y,2012-11-01,3150,IF3,Workshop And Premises,,,Small Business Rate,-1363.15,,
N00240999000106,The Landmark Trust,"The Landmark Trust, Cawood Castle, Cawood, Selby, YO8 3SG",YO8 3SG,53.831743,-1.127013,Y,1990-04-01,7650,CH1,Self Catering Holiday Unit And Premises,,,Mandatory,-1227.48,-1227.48,
N00250025050185,Crossroads Garage Selby Ltd,"Crossroads Garage, Chapel Haddlesey, Selby, YO8 8QQ",YO8 8QQ,53.728536,-1.119092,Y,2011-12-19,10750,CG3,Car Showroom And Premises,,,Small Business Rate,-5160.00,,
N00250025050607,,"Jug Inn., Hirst Road, Chapel Haddlesey, Selby, YO8 8QQ",YO8 8QQ,53.728536,-1.119092,Y,2017-03-23,5175,CL,Public House And Premises,,,Small Business Rate; Pub,-2484.00,,
N00250025051012,,"East View., Hirst Road, Chapel Haddlesey, Selby, YO8 8QQ",YO8 8QQ,53.728536,-1.119092,Y,2000-01-01,3850,IF3,Workshop And Premises,,,Small Business Rate,-1248.36,,
N00250219250019,Uk Hydro Ltd,"Chapel Haddlesey Hydro At Old Lock House, Haddlesey Lock, Chapel Haddlesey, Selby, YO8 8QG",YO8 8QG,53.726672,-1.121203,Y,2016-12-30,38250,FE,Electricity Hereditament And Premises,,,Localised Discretionary,,,
N00250220550001,Diocese Of York,"Church Community Hall, Millfield Road, Chapel Haddlesey, Selby, YO8 8QQ",YO8 8QQ,53.728536,-1.119092,Y,2006-07-01,3900,LC3,Hall And Premises,,,Discretionary; Mandatory,-1538.16,-1538.16,-384.54
N00250520550017,Mobile Broadband Network Ltd,"Hutchison 3g (Yo0086) At Croft Farm Buildings, Hirst Road, Chapel Haddlesey, Selby, YO8 8QQ",YO8 8QQ,53.728536,-1.119092,Y,2010-10-01,5800,MT1,Communication Station And Premises,,,,,,
N0025099905010A,North Yorkshire County Council,"C Of E School, Millfield Road, Chapel Haddlesey, Selby, YO8 8QQ",YO8 8QQ,53.728536,-1.119092,Y,1990-04-01,7000,EL,School And Premises,,,,,,
N00260015000315,Time Right Ltd,"At Rose Farm, Ash Lane, Church Fenton, Tadcaster, LS24 9QZ",LS24 9QZ,53.82153,-1.22769,Y,2013-04-01,6000,MC1,Crematorium And Premises,,,,,,
N0026003015000V,Vodafone Ltd,"Vodafone (37670) Rose Farm, Ash Lane, Church Fenton, Tadcaster, LS24 9QZ",LS24 9QZ,53.82153,-1.22769,Y,2010-04-01,6200,MT1,Communication Station And Premises,,,,,,
N00260030305061,,"Workshop At Willow Farm, Common Lane, Church Fenton, Tadcaster, LS24 9QR",LS24 9QR,53.82471,-1.23406,Y,2009-03-31,7400,IF3,Workshop And Premises,,,Small Business Rate,-2640.21,,
N00260030305062,Agrimech Farming Ltd,"Portakabin At Willow Farm, Common Lane, Church Fenton, Tadcaster, LS24 9QR",LS24 9QR,53.82471,-1.23406,Y,2009-03-31,2550,IF3,Workshop And Premises,,,Small Business Rate,-1224.00,,
N00260030350009,Church Fenton Bowling Club,"Church Fenton Bowling Club, Common Lane, Church Fenton, Tadcaster, LS24 9QR",LS24 9QR,53.82471,-1.23406,Y,2009-04-01,3200,LX,Leisure Unclassified,,,CASC Mandatory,-1262.08,-1262.08,
N00260045050530,,"A Poulter At Willow Farm, Common Lane, Church Fenton, Tadcaster, LS24 9QR",LS24 9QR,53.82471,-1.23406,Y,2000-04-01,3100,CW3,Store And Premises,,,Small Business Rate,-990.08,,
N0026006005100B,,"The Fenton Flyer, Main Street, Church Fenton, Tadcaster, LS24 9RF",LS24 9RF,53.82669,-1.21445,Y,2011-08-22,9550,CL,Public House And Premises,,,Small Business Rate,-4103.80,,
N0026006005220B,H And P Pubs Ltd,"White Horse Inn, Main Street, Church Fenton, Tadcaster, LS24 9RF",LS24 9RF,53.82669,-1.21445,Y,2018-08-03,10800,CL,Public House And Premises,,,,,,
N00260065050403,,"Mayfield House, Nanny Lane, Church Fenton, Tadcaster, LS24 9RL",LS24 9RL,53.82448,-1.20675,Y,2010-02-05,4200,IF3,Workshop And Premises,,,Small Business Rate,-1721.88,,
N00260105050904,,"Poulter D Workshop, Sandwath Lane, Church Fenton, Tadcaster, LS24 9QT",LS24 9QT,53.82969,-1.23087,Y,1990-04-01,10500,IF3,Workshop And Premises,,,Small Business Rate,-4362.08,,
N0026011005100B,Church Fenton Community Shop Ltd,"The Post Office, Station Road, Church Fenton, Tadcaster, LS24 9RA",LS24 9RA,53.82646,-1.22367,Y,2018-09-01,2500,CS6,Post Office And Premises,,,Small Business Rate,-696.99,,
N0026011006000A,,"Sunar Bangla, Station Road, Church Fenton, Tadcaster, LS24 9RA",LS24 9RA,53.82646,-1.22367,Y,1998-05-06,5200,CR,Restaurant And Premises,,,Small Business Rate,-2496.00,,
N0026022135001A,Strettons Mot Station Ltd,"Mot Station At Ashfield, Ash Lane, Church Fenton, Tadcaster, LS25 6HB",LS25 6HB,53.81211,-1.22355,Y,2017-04-06,4900,CG1,Vehicle Repair Workshop And Premises,,,Small Business Rate,-2352.00,,
N00260221450019,,"Sycamore Farm Shop, Sycamore Farm, Brackenhill Lane, Church Fenton, Tadcaster, LS24 9RP",LS24 9RP,53.82793,-1.20316,Y,2015-09-01,2750,IF3,Workshop And Premises,,,Small Business Rate,-1104.87,,
N00260221450110,,"Machinery Sales At Sycamore Farm , Brackenhill Lane, Church Fenton, Tadcaster, LS24 9RP",LS24 9RP,53.82793,-1.20316,Y,2011-03-01,2600,CW1,Land Used For Storage And Premises,,,Small Business Rate,-551.00,,
N00260221450220,1st Response Recovery Ltd,"Vehicle Recovery At Sycamore Farm, Brackenhill Lane, Church Fenton, Tadcaster, LS24 9RP",LS24 9RP,53.82793,-1.20316,Y,2011-03-01,7200,IF3,Workshop And Premises,,,Small Business Rate,-3214.17,,
N00260222150097,,"Stables At Hall Lane Stables, Hall Lane, Church Fenton, Tadcaster, LS24 9RN",LS24 9RN,53.82219,-1.20840,Y,2012-07-27,13750,LX,Leisure Unclassified,,,Localised Discretionary ; Small Business Rate ; Supporting Small Business,-2127.93,,
N00260304050109,Jigsaws Childcare Ltd,"Jigsaw, Main Street, Church Fenton, Tadcaster, LS24 9RF",LS24 9RF,53.82669,-1.21445,Y,2009-04-01,410,CO,Office And Premises,,,Small Business Rate,-175.06,,
N00260999050104,Star Multi Academy Trust,"Kirk Fenton School, Main Street, Church Fenton, Tadcaster, LS24 9RF",LS24 9RF,53.82669,-1.21445,Y,2018-07-01,33000,EL,School And Premises,,,Mandatory,-9770.31,-9770.31,
N00260999050208,Church Fenton Cricket Club,"Cricket Ground, Busk Lane, Church Fenton, Tadcaster, LS24 9RJ",LS24 9RJ,53.82683,-1.20891,Y,1990-04-01,3150,LS,Sports Ground And Premises,,,Small Business Rate,-1512.00,,
N00260999050209,Orange Personal Communication Services Ltd,"Orange Site No Nyk0168 At Mires Lane, Busk Lane, Church Fenton, Tadcaster, LS24 9RJ",LS24 9RJ,53.82683,-1.20891,Y,2005-04-01,7300,MT1,Communication Station And Premises,,,,,,
N00260999050405,Church Fenton Village Hall,"Village Hall, Main Street, Church Fenton, Tadcaster, LS24 9RF",LS24 9RF,53.82669,-1.21445,Y,1990-04-01,2600,LC3,Hall And Premises,,,Discretionary Top Up; Mandatory,-527.40,-421.92,-105.48
N00270032050097,,"Wind Turbine, Lara Bridge Farm, Low Moor Road, South Duffield, Selby, YO8 6EF",YO8 6EF,53.798217,-0.990657,Y,2013-08-21,13250,FE,Electricity Hereditament And Premises,,,,,,
N00270032950219,,"Glenrose Cattery At Hill Farm, Lund Road, Cliffe, Selby, YO8 6PF",YO8 6PF,53.782377,-1.002238,Y,2017-06-08,5200,CX,Other Commercial,,,Small Business Rate,-2496.00,,
N0027003365001X,Headley Green Limited,"Photovoltaic Panels On Land North Of, Whitemoor Farm, Cliffe Common, Cliffe, Selby, YO8 6EG",YO8 6EG,53.814614,-0.990755,Y,2013-09-12,760,FE,Electricity Hereditament And Premises,,,Small Business Rate,-364.80,,
N00270035051712,,"Cliffe Country Lodges, Cliffe Common, Cliffe, Selby, YO8 6PA",YO8 6PA,53.795757,-0.995301,Y,2013-03-14,9200,CC1,Caravan Site,,,,,,
N0027003505193B,Just Paper Tubes Ltd,"Factory, Low Moor Road, Cliffe Commom, Selby, YO8 6EF",YO8 6EF,53.798217,-0.990657,Y,1992-05-05,101000,IF,Factory And Premises,,,Localised Discretionary,,,
N00270060050318,Minster Commercials Ltd,"Hagg Lane Farm, Hagg Lane, South Duffield, Selby, YO8 6TF",YO8 6TF,53.782181,-0.971616,Y,2011-11-01,11000,IF3,Workshop And Premises,,,Small Business Rate,-4649.06,,
N00270075050208,,"Elm Tree House., Hull Road, Cliffe, Selby, YO8 6NH",YO8 6NH,53.776718,-0.994011,Y,1990-04-01,5100,IF3,Workshop And Premises,,,Small Business Rate,-1549.69,,
